Generation,Best,Time,Total_Time
0,375,0.337,0.337
1,375,0.064,0.401
2,375,0.071,0.472
3,375,0.088,0.560
4,375,0.130,0.690
5,375,0.127,0.817
6,375,0.176,0.993
7,375,0.104,1.097
8,375,0.078,1.175
9,375,0.061,1.236
10,375,0.061,1.297
11,375,0.059,1.356
12,375,0.059,1.415
13,375,0.065,1.480
14,375,0.065,1.545
15,375,0.056,1.601
16,375,0.048,1.649
17,375,0.047,1.696
18,375,0.047,1.743
19,375,0.052,1.795
20,385,0.055,1.850
21,385,0.050,1.900
22,385,0.050,1.950
23,385,0.061,2.011
24,385,0.051,2.062
25,385,0.049,2.111
26,385,0.055,2.166
27,385,0.048,2.214
28,385,0.051,2.265
29,385,0.053,2.318
30,385,0.048,2.366
31,385,0.052,2.418
32,385,0.048,2.466
33,385,0.045,2.511
34,404,0.051,2.562
35,404,0.045,2.607
36,404,0.045,2.652
37,404,0.049,2.701
38,404,0.047,2.748
39,404,0.044,2.792
40,404,0.046,2.838
41,404,0.048,2.886
42,404,0.044,2.930
43,404,0.046,2.976
44,404,0.046,3.022
45,404,0.050,3.072
46,404,0.044,3.116
47,404,0.046,3.162
48,404,0.045,3.207
49,404,0.046,3.253
50,404,0.053,3.306
51,404,0.043,3.349
52,404,0.048,3.397
53,404,0.048,3.445
54,404,0.050,3.495
55,404,0.052,3.547
56,404,0.050,3.597
57,404,0.044,3.641
58,404,0.046,3.687
59,404,0.056,3.743
60,404,0.046,3.789
61,404,0.050,3.839
62,404,0.045,3.884
63,404,0.050,3.934
64,404,0.043,3.977
65,404,0.050,4.027
66,404,0.048,4.075
67,404,0.048,4.123
68,404,0.105,4.228
69,404,0.053,4.281
70,404,0.053,4.334
71,404,0.052,4.386
72,404,0.053,4.439
73,404,0.063,4.502
74,404,0.053,4.555
75,404,0.045,4.600
76,404,0.052,4.652
77,404,0.050,4.702
78,404,0.051,4.753
79,404,0.050,4.803
80,404,0.044,4.847
81,404,0.047,4.894
82,404,0.046,4.940
83,404,0.050,4.990
84,404,0.047,5.037
85,404,0.051,5.088
86,404,0.053,5.141
87,404,0.057,5.198
88,404,0.079,5.277
89,404,0.047,5.324
90,404,0.048,5.372
91,404,0.048,5.420
92,404,0.046,5.466
93,404,0.053,5.519
94,404,0.046,5.565
95,404,0.049,5.614
96,404,0.052,5.666
97,404,0.082,5.748
98,404,0.073,5.821
99,404,0.305,6.126
100,404,0.058,6.184
101,404,0.067,6.251
102,404,0.061,6.312
103,404,0.061,6.373
104,404,0.054,6.427
105,404,0.062,6.489
106,404,0.060,6.549
107,404,0.058,6.607
108,404,0.059,6.666
109,404,0.065,6.731
110,404,0.049,6.780
111,404,0.057,6.837
112,404,0.053,6.890
113,404,0.051,6.941
114,404,0.051,6.992
115,404,0.045,7.037
116,404,0.042,7.079
117,404,0.050,7.129
118,404,0.063,7.192
119,404,0.048,7.240
120,404,0.058,7.298
121,404,0.051,7.349
122,404,0.062,7.411
123,404,0.055,7.466
124,404,0.052,7.518
125,404,0.045,7.563
126,404,0.056,7.619
127,404,0.049,7.668
128,404,0.045,7.713
129,404,0.046,7.759
130,404,0.048,7.807
131,404,0.045,7.852
132,404,0.057,7.909
133,404,0.051,7.960
134,404,0.055,8.015
135,404,0.047,8.062
136,404,0.041,8.103
137,404,0.046,8.149
138,404,0.044,8.193
139,404,0.044,8.237
140,404,0.044,8.281
141,404,0.042,8.323
142,404,0.048,8.371
143,404,0.049,8.420
144,404,0.048,8.468
145,404,0.054,8.522
146,404,0.047,8.569
147,404,0.050,8.619
148,404,0.055,8.674
149,404,0.054,8.728
150,404,0.064,8.792
151,404,0.060,8.852
152,404,0.058,8.910
153,404,0.061,8.971
154,404,0.059,9.030
155,404,0.056,9.086
156,404,0.065,9.151
157,404,0.079,9.230
158,404,0.054,9.284
159,404,0.054,9.338
160,404,0.045,9.383
161,404,0.047,9.430
162,404,0.062,9.492
163,404,0.054,9.546
164,404,0.051,9.597
165,404,0.051,9.648
166,404,0.058,9.706
167,404,0.047,9.753
168,404,0.057,9.810
169,404,0.057,9.867
170,404,0.053,9.920
171,404,0.054,9.974
172,404,0.050,10.024
173,404,0.053,10.077
174,404,0.052,10.129
175,411,0.048,10.177
176,411,0.043,10.220
177,411,0.044,10.264
178,411,0.046,10.310
179,411,0.046,10.356
180,411,0.047,10.403
181,411,0.058,10.461
182,411,0.058,10.519
183,411,0.061,10.580
184,411,0.052,10.632
185,411,0.042,10.674
186,411,0.044,10.718
187,411,0.047,10.765
188,411,0.048,10.813
189,411,0.044,10.857
190,411,0.046,10.903
191,411,0.044,10.947
192,411,0.043,10.990
193,411,0.042,11.032
194,411,0.044,11.076
195,411,0.046,11.122
196,411,0.046,11.168
197,411,0.045,11.213
198,411,0.051,11.264
199,411,0.044,11.308
200,411,0.046,11.354
201,411,0.250,11.604
202,411,0.082,11.686
203,411,0.052,11.738
204,411,0.059,11.797
205,411,0.055,11.852
206,411,0.053,11.905
207,411,0.061,11.966
208,411,0.047,12.013
209,411,0.055,12.068
210,411,0.052,12.120
211,411,0.051,12.171
212,411,0.050,12.221
213,411,0.045,12.266
214,411,0.046,12.312
215,411,0.045,12.357
216,411,0.043,12.400
217,411,0.047,12.447
218,411,0.045,12.492
219,411,0.050,12.542
220,411,0.049,12.591
221,411,0.063,12.654
222,411,0.063,12.717
223,411,0.082,12.799
224,411,0.055,12.854
225,411,0.150,13.004
226,411,0.055,13.059
227,411,0.046,13.105
228,411,0.054,13.159
229,411,0.050,13.209
230,416,0.049,13.258
231,416,0.056,13.314
232,416,0.052,13.366
233,416,0.053,13.419
234,416,0.053,13.472
235,416,0.054,13.526
236,416,0.079,13.605
237,416,0.052,13.657
238,416,0.056,13.713
239,416,0.061,13.774
240,416,0.058,13.832
241,416,0.060,13.892
242,416,0.066,13.958
243,416,0.054,14.012
244,416,0.048,14.060
245,416,0.044,14.104
246,416,0.054,14.158
247,416,0.064,14.222
248,416,0.053,14.275
249,416,0.048,14.323
250,416,0.056,14.379
251,416,0.048,14.427
252,416,0.053,14.480
253,416,0.052,14.532
254,416,0.050,14.582
255,416,0.039,14.621
256,419,0.046,14.667
257,419,0.042,14.709
258,419,0.040,14.749
259,419,0.045,14.794
260,419,0.050,14.844
261,419,0.049,14.893
262,419,0.046,14.939
263,419,0.049,14.988
264,419,0.043,15.031
265,419,0.049,15.080
266,419,0.049,15.129
267,419,0.044,15.173
268,419,0.052,15.225
269,419,0.056,15.281
270,419,0.051,15.332
271,419,0.045,15.377
272,419,0.041,15.418
273,419,0.059,15.477
274,419,0.047,15.524
275,419,0.052,15.576
276,419,0.046,15.622
277,419,0.051,15.673
278,419,0.038,15.711
279,419,0.040,15.751
280,419,0.047,15.798
281,419,0.045,15.843
282,419,0.049,15.892
283,419,0.044,15.936
284,419,0.057,15.993
285,419,0.050,16.043
286,419,0.050,16.093
287,419,0.050,16.143
288,419,0.041,16.184
289,419,0.042,16.226
290,419,0.040,16.266
291,419,0.038,16.304
292,419,0.044,16.348
293,419,0.046,16.394
294,419,0.046,16.440
295,419,0.045,16.485
296,419,0.038,16.523
297,419,0.042,16.565
298,419,0.051,16.616
299,419,0.044,16.660
300,419,0.049,16.709
301,419,0.056,16.765
302,419,0.044,16.809
303,419,0.050,16.859
304,419,0.051,16.910
305,419,0.046,16.956
306,419,0.046,17.002
307,419,0.067,17.069
308,419,0.056,17.125
309,419,0.046,17.171
310,419,0.043,17.214
311,419,0.042,17.256
312,419,0.047,17.303
313,419,0.047,17.350
314,419,0.049,17.399
315,419,0.042,17.441
316,419,0.041,17.482
317,419,0.049,17.531
318,419,0.044,17.575
319,419,0.045,17.620
320,419,0.043,17.663
321,419,0.045,17.708
322,419,0.043,17.751
323,419,0.043,17.794
324,419,0.039,17.833
325,419,0.041,17.874
326,419,0.037,17.911
327,419,0.042,17.953
328,419,0.046,17.999
329,419,0.041,18.040
330,419,0.043,18.083
331,419,0.042,18.125
332,419,0.057,18.182
333,419,0.049,18.231
334,428,0.045,18.276
335,428,0.044,18.320
336,428,0.045,18.365
337,428,0.052,18.417
338,428,0.047,18.464
339,428,0.059,18.523
340,428,0.052,18.575
341,428,0.055,18.630
342,428,0.060,18.690
343,428,0.054,18.744
344,428,0.047,18.791
345,428,0.040,18.831
346,428,0.043,18.874
347,428,0.047,18.921
348,428,0.045,18.966
349,428,0.045,19.011
350,428,0.041,19.052
351,428,0.039,19.091
352,428,0.044,19.135
353,428,0.044,19.179
354,428,0.053,19.232
355,428,0.048,19.280
356,428,0.051,19.331
357,428,0.039,19.370
358,428,0.043,19.413
359,428,0.052,19.465
360,428,0.051,19.516
361,428,0.042,19.558
362,428,0.058,19.616
363,428,0.045,19.661
364,428,0.042,19.703
365,428,0.045,19.748
366,428,0.047,19.795
367,428,0.051,19.846
368,428,0.045,19.891
369,428,0.037,19.928
370,428,0.045,19.973
371,428,0.045,20.018
372,428,0.046,20.064
373,428,0.052,20.116
374,428,0.037,20.153
375,428,0.050,20.203
376,428,0.039,20.242
377,428,0.044,20.286
378,428,0.049,20.335
379,428,0.044,20.379
380,428,0.041,20.420
381,428,0.044,20.464
382,428,0.040,20.504
383,428,0.056,20.560
384,428,0.049,20.609
385,428,0.044,20.653
386,428,0.043,20.696
387,428,0.045,20.741
388,428,0.097,20.838
389,428,0.041,20.879
390,428,0.052,20.931
391,428,0.048,20.979
392,428,0.061,21.040
393,428,0.054,21.094
394,428,0.055,21.149
395,428,0.046,21.195
396,428,0.040,21.235
397,428,0.041,21.276
398,428,0.044,21.320
399,428,0.039,21.359
400,428,0.047,21.406
401,428,0.041,21.447
