Generation,Best,Time,Total_Time
0,374,0.138,0.138
1,374,0.047,0.185
2,374,0.064,0.249
3,374,0.043,0.292
4,385,0.060,0.352
5,389,0.059,0.411
6,389,0.061,0.472
7,389,0.051,0.523
8,389,0.054,0.577
9,389,0.052,0.629
10,400,0.047,0.676
11,400,0.047,0.723
12,412,0.048,0.771
13,412,0.051,0.822
14,412,0.061,0.883
15,412,0.058,0.941
16,412,0.050,0.991
17,412,0.049,1.040
18,412,0.049,1.089
19,419,0.040,1.129
20,419,0.053,1.182
21,419,0.052,1.234
22,419,0.048,1.282
23,419,0.046,1.328
24,419,0.050,1.378
25,419,0.048,1.426
26,419,0.042,1.468
27,419,0.040,1.508
28,419,0.045,1.553
29,420,0.046,1.599
30,420,0.052,1.651
31,420,0.053,1.704
32,430,0.055,1.759
33,430,0.047,1.806
34,430,0.069,1.875
35,430,0.048,1.923
36,430,0.042,1.965
37,430,0.041,2.006
38,432,0.044,2.050
39,432,0.053,2.103
40,432,0.046,2.149
41,432,0.056,2.205
42,434,0.050,2.255
43,444,0.044,2.299
44,444,0.038,2.337
45,444,0.046,2.383
46,444,0.045,2.428
47,444,0.051,2.479
48,444,0.041,2.520
49,444,0.047,2.567
50,444,0.055,2.622
51,444,0.050,2.672
52,444,0.054,2.726
53,444,0.074,2.800
54,444,0.070,2.870
55,444,0.055,2.925
56,450,0.060,2.985
57,450,0.051,3.036
58,450,0.040,3.076
59,450,0.051,3.127
60,450,0.050,3.177
61,450,0.043,3.220
62,450,0.039,3.259
63,450,0.041,3.300
64,450,0.058,3.358
65,450,0.054,3.412
66,450,0.051,3.463
67,465,0.044,3.507
68,465,0.035,3.542
69,465,0.053,3.595
70,465,0.045,3.640
71,465,0.039,3.679
72,465,0.047,3.726
73,465,0.048,3.774
74,465,0.049,3.823
75,465,0.046,3.869
76,465,0.058,3.927
77,465,0.042,3.969
78,465,0.037,4.006
79,465,0.038,4.044
80,465,0.044,4.088
81,465,0.049,4.137
82,465,0.045,4.182
83,465,0.082,4.264
84,465,0.046,4.310
85,465,0.040,4.350
86,465,0.043,4.393
87,465,0.041,4.434
88,465,0.038,4.472
89,465,0.084,4.556
90,467,0.054,4.610
91,467,0.054,4.664
92,467,0.039,4.703
93,467,0.040,4.743
94,467,0.039,4.782
95,470,0.050,4.832
96,470,0.045,4.877
97,470,0.041,4.918
98,470,0.036,4.954
99,470,0.038,4.992
100,470,0.036,5.028
101,470,0.043,5.071
102,472,0.039,5.110
103,472,0.039,5.149
104,472,0.045,5.194
105,472,0.033,5.227
106,472,0.043,5.270
107,472,0.043,5.313
108,472,0.055,5.368
109,472,0.035,5.403
110,472,0.041,5.444
111,472,0.030,5.474
112,479,0.037,5.511
113,479,0.033,5.544
114,479,0.034,5.578
115,479,0.032,5.610
116,479,0.035,5.645
117,479,0.032,5.677
118,479,0.033,5.710
119,479,0.031,5.741
120,479,0.040,5.781
121,479,0.044,5.825
122,479,0.035,5.860
123,481,0.032,5.892
124,481,0.035,5.927
125,481,0.034,5.961
126,481,0.031,5.992
127,481,0.035,6.027
128,481,0.034,6.061
129,481,0.032,6.093
130,481,0.038,6.131
131,481,0.032,6.163
132,481,0.033,6.196
133,481,0.032,6.228
134,491,0.038,6.266
135,491,0.038,6.304
136,491,0.033,6.337
137,491,0.038,6.375
138,491,0.036,6.411
139,491,0.044,6.455
140,491,0.038,6.493
141,491,0.044,6.537
142,491,0.041,6.578
143,491,0.037,6.615
144,491,0.031,6.646
145,493,0.034,6.680
146,493,0.036,6.716
147,494,0.049,6.765
148,494,0.044,6.809
149,494,0.082,6.891
150,494,0.044,6.935
151,494,0.036,6.971
152,494,0.032,7.003
153,494,0.042,7.045
154,494,0.036,7.081
155,494,0.035,7.116
156,494,0.035,7.151
157,508,0.036,7.187
158,508,0.033,7.220
159,508,0.038,7.258
160,508,0.032,7.290
161,508,0.040,7.330
162,508,0.035,7.365
163,508,0.043,7.408
164,509,0.056,7.464
165,509,0.053,7.517
166,509,0.069,7.586
167,509,0.078,7.664
