Generation,Best,Time,Total_Time
0,402,0.822,0.822
1,407,0.469,1.291
2,419,0.435,1.726
3,432,0.486,2.212
4,434,0.458,2.670
5,434,0.511,3.181
6,434,0.427,3.608
7,434,0.465,4.073
8,449,0.488,4.561
9,449,0.497,5.058
10,460,0.417,5.475
11,462,0.428,5.903
12,462,0.416,6.319
13,462,0.451,6.770
14,462,0.413,7.183
15,462,0.458,7.641
16,462,0.428,8.069
17,462,0.461,8.530
18,462,0.451,8.981
19,462,0.447,9.428
20,462,0.453,9.881
21,462,0.451,10.332
22,462,0.422,10.754
23,462,0.441,11.195
24,462,0.420,11.615
25,462,0.441,12.056
26,462,0.539,12.595
27,462,0.454,13.049
28,469,0.451,13.500
29,469,0.541,14.041
30,474,0.430,14.471
31,475,0.394,14.865
32,475,0.443,15.308
33,475,0.407,15.715
34,475,0.469,16.184
35,475,0.445,16.629
36,475,0.528,17.157
37,475,0.565,17.722
38,477,0.488,18.210
39,479,0.459,18.669
40,479,0.502,19.171
41,479,0.530,19.701
42,479,0.574,20.275
43,479,0.450,20.725
44,479,0.429,21.154
45,479,0.439,21.593
46,479,0.487,22.080
47,479,0.425,22.505
48,479,0.424,22.929
49,480,0.439,23.368
50,483,0.421,23.789
51,483,0.622,24.411
52,483,0.536,24.947
53,483,0.422,25.369
54,483,0.409,25.778
55,494,0.394,26.172
56,494,0.407,26.579
57,494,0.493,27.072
58,494,0.428,27.500
59,494,0.402,27.902
60,494,0.420,28.322
61,494,0.423,28.745
62,494,0.415,29.160
63,494,0.454,29.614
64,494,0.455,30.069
65,494,0.435,30.504
66,494,0.414,30.918
67,494,0.403,31.321
68,494,0.467,31.788
69,494,0.404,32.192
70,494,0.433,32.625
71,494,0.412,33.037
72,494,0.408,33.445
73,494,0.385,33.830
74,494,0.368,34.198
75,494,0.370,34.568
76,494,0.377,34.945
77,494,0.362,35.307
78,494,0.387,35.694
79,494,0.409,36.103
80,494,0.439,36.542
81,494,0.391,36.933
82,494,0.438,37.371
83,494,0.370,37.741
84,494,0.482,38.223
85,494,0.397,38.620
86,494,0.424,39.044
87,494,0.384,39.428
88,494,0.402,39.830
89,494,0.372,40.202
90,494,0.391,40.593
91,494,0.416,41.009
92,494,0.431,41.440
93,494,0.418,41.858
94,494,0.395,42.253
95,494,0.409,42.662
96,494,0.472,43.134
97,494,0.378,43.512
98,494,0.392,43.904
99,494,0.395,44.299
100,494,0.389,44.688
101,494,0.393,45.081
102,494,0.393,45.474
103,494,0.403,45.877
104,494,0.389,46.266
105,494,0.389,46.655
106,494,0.361,47.016
107,494,0.361,47.377
108,494,0.371,47.748
109,494,0.382,48.130
110,494,0.400,48.530
111,494,0.404,48.934
112,494,0.398,49.332
113,494,0.382,49.714
114,494,0.404,50.118
115,494,0.375,50.493
116,494,0.397,50.890
117,494,0.398,51.288
118,494,0.373,51.661
119,494,0.375,52.036
120,494,0.377,52.413
121,494,0.370,52.783
122,494,0.381,53.164
123,494,0.415,53.579
124,494,0.403,53.982
125,494,0.375,54.357
126,494,0.409,54.766
127,494,0.394,55.160
128,494,0.394,55.554
129,494,0.428,55.982
130,494,0.380,56.362
131,494,0.369,56.731
132,494,0.417,57.148
133,494,0.378,57.526
134,494,0.466,57.992
135,494,0.396,58.388
136,494,0.423,58.811
137,494,0.407,59.218
138,494,0.413,59.631
139,494,0.382,60.013
140,494,0.408,60.421
141,494,0.403,60.824
142,494,0.370,61.194
143,494,0.371,61.565
144,494,0.380,61.945
145,494,0.394,62.339
146,494,0.386,62.725
147,494,0.376,63.101
148,494,0.390,63.491
149,494,0.375,63.866
150,494,0.373,64.239
151,494,0.394,64.633
152,494,0.368,65.001
153,494,0.380,65.381
154,494,0.428,65.809
155,494,0.373,66.182
156,494,0.364,66.546
157,494,0.389,66.935
158,494,0.383,67.318
159,494,0.438,67.756
160,494,0.373,68.129
161,495,0.362,68.491
162,495,0.363,68.854
163,500,0.366,69.220
164,500,0.368,69.588
165,500,0.377,69.965
166,500,0.392,70.357
167,500,0.399,70.756
168,500,0.368,71.124
169,500,0.371,71.495
170,500,0.371,71.866
171,500,0.373,72.239
172,500,0.375,72.614
173,500,0.389,73.003
174,500,0.380,73.383
175,500,0.398,73.781
176,500,0.373,74.154
177,500,0.385,74.539
178,500,0.381,74.920
179,500,0.364,75.284
180,500,0.411,75.695
181,500,0.379,76.074
182,500,0.426,76.500
183,500,0.372,76.872
184,500,0.363,77.235
185,500,0.389,77.624
186,500,0.401,78.025
187,500,0.381,78.406
188,500,0.390,78.796
189,500,0.378,79.174
190,500,0.374,79.548
191,500,0.386,79.934
192,500,0.391,80.325
193,500,0.378,80.703
194,500,0.370,81.073
195,500,0.366,81.439
196,500,0.375,81.814
197,500,0.382,82.196
198,500,0.375,82.571
199,500,0.377,82.948
200,500,0.390,83.338
201,500,0.414,83.752
202,500,0.440,84.192
203,500,0.383,84.575
204,500,0.377,84.952
205,500,0.417,85.369
206,500,0.378,85.747
207,500,0.368,86.115
208,500,0.385,86.500
209,500,0.374,86.874
210,500,0.361,87.235
211,500,0.378,87.613
212,500,0.366,87.979
213,500,0.439,88.418
214,500,0.418,88.836
215,500,0.358,89.194
216,500,0.369,89.563
217,500,0.370,89.933
218,500,0.410,90.343
219,500,0.403,90.746
220,500,0.399,91.145
221,500,0.367,91.512
222,502,0.370,91.882
223,502,0.385,92.267
224,502,0.387,92.654
225,502,0.368,93.022
226,502,0.391,93.413
227,502,0.393,93.806
228,502,0.369,94.175
229,502,0.383,94.558
230,502,0.382,94.940
231,502,0.382,95.322
232,502,0.375,95.697
233,502,0.372,96.069
234,502,0.402,96.471
235,502,0.447,96.918
236,502,0.370,97.288
237,502,0.392,97.680
238,502,0.369,98.049
239,502,0.371,98.420
240,502,0.371,98.791
241,502,0.367,99.158
242,502,0.430,99.588
243,502,0.395,99.983
244,502,0.374,100.357
245,502,0.369,100.726
246,502,0.367,101.093
247,502,0.379,101.472
248,502,0.361,101.833
249,505,0.382,102.215
250,505,0.383,102.598
251,505,0.404,103.002
252,505,0.371,103.373
253,505,0.369,103.742
254,505,0.379,104.121
255,505,0.426,104.547
256,506,0.415,104.962
257,506,0.451,105.413
258,506,0.378,105.791
259,506,0.432,106.223
260,506,0.402,106.625
261,506,0.389,107.014
262,506,0.391,107.405
263,506,0.395,107.800
264,506,0.412,108.212
265,506,0.373,108.585
266,506,0.415,109.000
267,506,0.413,109.413
268,506,0.493,109.906
269,506,0.372,110.278
270,506,0.378,110.656
271,506,0.363,111.019
272,506,0.397,111.416
273,506,0.409,111.825
274,506,0.429,112.254
275,506,0.398,112.652
276,506,0.397,113.049
277,506,0.393,113.442
278,506,0.366,113.808
279,507,0.375,114.183
280,507,0.380,114.563
281,507,0.396,114.959
282,507,0.378,115.337
283,507,0.435,115.772
284,507,0.392,116.164
285,507,0.420,116.584
286,507,0.392,116.976
287,507,0.398,117.374
288,507,0.417,117.791
289,507,0.412,118.203
290,507,0.385,118.588
291,507,0.455,119.043
292,507,0.452,119.495
293,507,0.482,119.977
294,507,0.396,120.373
295,507,0.387,120.760
296,507,0.378,121.138
297,508,0.388,121.526
298,508,0.389,121.915
299,508,0.394,122.309
300,508,0.393,122.702
301,508,0.399,123.101
302,508,0.386,123.487
303,508,0.391,123.878
304,508,0.392,124.270
305,508,0.451,124.721
306,508,0.426,125.147
307,508,0.397,125.544
308,508,0.401,125.945
309,508,0.418,126.363
310,508,0.402,126.765
311,508,0.374,127.139
312,508,0.378,127.517
313,508,0.507,128.024
314,508,0.390,128.414
315,508,0.457,128.871
316,508,0.416,129.287
317,508,0.398,129.685
318,508,0.400,130.085
319,508,0.391,130.476
