Maximum fit for each generation: 
Best fit for generation 0: 374
Best fit for generation 1: 374
Best fit for generation 2: 374
Best fit for generation 3: 374
Best fit for generation 4: 374
Best fit for generation 5: 374
Best fit for generation 6: 374
Best fit for generation 7: 374
Best fit for generation 8: 374
Best fit for generation 9: 374
Best fit for generation 10: 374
Best fit for generation 11: 374
Best fit for generation 12: 374
Best fit for generation 13: 374
Best fit for generation 14: 374
Best fit for generation 15: 374
Best fit for generation 16: 374
Best fit for generation 17: 374
Best fit for generation 18: 374
Best fit for generation 19: 374
Best fit for generation 20: 374
Best fit for generation 21: 374
Best fit for generation 22: 374
Best fit for generation 23: 374
Best fit for generation 24: 374
Best fit for generation 25: 374
Best fit for generation 26: 374
Best fit for generation 27: 374
Best fit for generation 28: 374
Best fit for generation 29: 374
Best fit for generation 30: 374
Best fit for generation 31: 374
Best fit for generation 32: 374
Best fit for generation 33: 374
Best fit for generation 34: 374
Best fit for generation 35: 374
Best fit for generation 36: 374
Best fit for generation 37: 374
Best fit for generation 38: 374
Best fit for generation 39: 374
Best fit for generation 40: 374
Best fit for generation 41: 374
Best fit for generation 42: 374
Best fit for generation 43: 374
Best fit for generation 44: 374
Best fit for generation 45: 374
Best fit for generation 46: 374
Best fit for generation 47: 374
Best fit for generation 48: 374
Best fit for generation 49: 374
Best fit for generation 50: 374
Best fit for generation 51: 374
Best fit for generation 52: 374
Best fit for generation 53: 374
Best fit for generation 54: 374
Best fit for generation 55: 374
Best fit for generation 56: 374
Best fit for generation 57: 374
Best fit for generation 58: 374
Best fit for generation 59: 374
Best fit for generation 60: 374
Best fit for generation 61: 374
Best fit for generation 62: 374
Best fit for generation 63: 374
Best fit for generation 64: 374
Best fit for generation 65: 374
Best fit for generation 66: 374
Best fit for generation 67: 374
Best fit for generation 68: 374
Best fit for generation 69: 374
Best fit for generation 70: 374
Best fit for generation 71: 374
Best fit for generation 72: 374
Best fit for generation 73: 374
Best fit for generation 74: 374
Best fit for generation 75: 374
Best fit for generation 76: 374
Best fit for generation 77: 374
Best fit for generation 78: 374
Best fit for generation 79: 374
Best fit for generation 80: 374
Best fit for generation 81: 374
Best fit for generation 82: 374
Best fit for generation 83: 374
Best fit for generation 84: 374
Best fit for generation 85: 374
Best fit for generation 86: 374
Best fit for generation 87: 374
