Generation,Best,Time,Total_Time
0,374,0.239,0.239
1,374,0.081,0.320
2,374,0.074,0.394
3,374,0.083,0.477
4,374,0.073,0.550
5,374,0.056,0.606
6,374,0.059,0.665
7,374,0.062,0.727
8,374,0.097,0.824
9,374,0.087,0.911
10,374,0.069,0.980
11,374,0.069,1.049
12,374,0.071,1.120
13,374,0.061,1.181
14,374,0.069,1.250
15,374,0.070,1.320
16,374,0.067,1.387
17,374,0.058,1.445
18,374,0.065,1.510
19,374,0.074,1.584
20,374,0.056,1.640
21,374,0.056,1.696
22,374,0.062,1.758
23,374,0.061,1.819
24,374,0.057,1.876
25,374,0.061,1.937
26,374,0.064,2.001
27,374,0.058,2.059
28,374,0.061,2.120
29,374,0.057,2.177
30,374,0.085,2.262
31,374,0.136,2.398
32,374,0.072,2.470
33,374,0.060,2.530
34,374,0.057,2.587
35,374,0.054,2.641
36,374,0.052,2.693
37,374,0.056,2.749
38,374,0.054,2.803
39,374,0.060,2.863
40,374,0.065,2.928
41,374,0.087,3.015
42,374,0.070,3.085
43,374,0.064,3.149
44,374,0.066,3.215
45,374,0.073,3.288
46,374,0.060,3.348
47,374,0.068,3.416
48,374,0.069,3.485
49,374,0.059,3.544
50,374,0.060,3.604
51,374,0.063,3.667
52,374,0.060,3.727
53,374,0.078,3.805
54,374,0.083,3.888
55,374,0.080,3.968
56,374,0.089,4.057
57,374,0.068,4.125
58,374,0.086,4.211
59,374,0.078,4.289
60,374,0.065,4.354
61,374,0.059,4.413
62,374,0.069,4.482
63,374,0.059,4.541
64,374,0.064,4.605
65,374,0.063,4.668
66,374,0.057,4.725
67,374,0.069,4.794
68,374,0.095,4.889
69,374,0.077,4.966
70,374,0.056,5.022
71,374,0.068,5.090
72,374,0.066,5.156
73,374,0.061,5.217
74,374,0.064,5.281
75,374,0.077,5.358
76,374,0.062,5.420
77,374,0.059,5.479
78,374,0.063,5.542
79,374,0.062,5.604
80,374,0.084,5.688
81,374,0.061,5.749
82,374,0.063,5.812
83,374,0.066,5.878
84,374,0.053,5.931
85,374,0.058,5.989
86,374,0.060,6.049
87,374,0.055,6.104
88,374,0.065,6.169
89,374,0.061,6.230
90,374,0.068,6.298
91,374,0.072,6.370
92,374,0.064,6.434
93,374,0.070,6.504
94,374,0.074,6.578
95,374,0.059,6.637
96,374,0.060,6.697
97,374,0.057,6.754
98,374,0.067,6.821
99,374,0.050,6.871
100,374,0.062,6.933
101,374,0.051,6.984
102,374,0.063,7.047
103,374,0.054,7.101
104,374,0.062,7.163
105,374,0.056,7.219
106,374,0.071,7.290
107,374,0.062,7.352
108,374,0.061,7.413
109,374,0.064,7.477
110,374,0.064,7.541
111,374,0.064,7.605
112,374,0.069,7.674
113,374,0.054,7.728
114,374,0.117,7.845
115,374,0.136,7.981
116,374,0.061,8.042
117,374,0.052,8.094
118,374,0.062,8.156
119,374,0.084,8.240
120,374,0.057,8.297
121,374,0.061,8.358
122,374,0.062,8.420
123,374,0.059,8.479
124,374,0.060,8.539
125,374,0.110,8.649
126,374,0.082,8.731
127,374,0.065,8.796
128,374,0.072,8.868
129,374,0.059,8.927
130,374,0.054,8.981
131,374,0.057,9.038
132,374,0.055,9.093
133,374,0.075,9.168
134,374,0.057,9.225
135,374,0.057,9.282
136,374,0.056,9.338
137,374,0.061,9.399
138,374,0.064,9.463
139,374,0.050,9.513
140,374,0.070,9.583
141,374,0.062,9.645
142,374,0.057,9.702
143,374,0.059,9.761
144,374,0.068,9.829
145,374,0.061,9.890
146,374,0.071,9.961
147,374,0.055,10.016
148,374,0.066,10.082
149,374,0.069,10.151
150,374,0.067,10.218
151,374,0.058,10.276
152,374,0.058,10.334
153,374,0.055,10.389
154,374,0.058,10.447
155,374,0.056,10.503
156,374,0.051,10.554
157,374,0.059,10.613
158,374,0.049,10.662
159,374,0.053,10.715
160,374,0.057,10.772
161,374,0.068,10.840
162,374,0.064,10.904
163,374,0.060,10.964
164,374,0.138,11.102
165,374,0.078,11.180
166,374,0.062,11.242
167,374,0.059,11.301
168,374,0.053,11.354
169,374,0.065,11.419
170,374,0.051,11.470
171,374,0.054,11.524
172,374,0.064,11.588
173,374,0.061,11.649
174,374,0.068,11.717
175,374,0.057,11.774
176,374,0.055,11.829
177,374,0.060,11.889
178,374,0.057,11.946
179,374,0.057,12.003
180,374,0.062,12.065
181,374,0.064,12.129
182,374,0.058,12.187
183,374,0.061,12.248
184,374,0.056,12.304
185,374,0.056,12.360
186,374,0.079,12.439
187,374,0.069,12.508
188,374,0.051,12.559
189,374,0.048,12.607
190,374,0.053,12.660
191,374,0.055,12.715
192,374,0.079,12.794
193,374,0.066,12.860
194,374,0.051,12.911
195,374,0.068,12.979
196,374,0.084,13.063
197,374,0.057,13.120
198,374,0.055,13.175
199,374,0.070,13.245
200,374,0.062,13.307
201,374,0.061,13.368
202,374,0.071,13.439
203,374,0.061,13.500
204,374,0.048,13.548
205,374,0.061,13.609
206,374,0.073,13.682
207,374,0.066,13.748
208,374,0.062,13.810
209,374,0.055,13.865
210,374,0.059,13.924
211,374,0.056,13.980
212,374,0.055,14.035
213,374,0.057,14.092
