Maximum fit for each generation: 
Best fit for generation 0: 509
Best fit for generation 1: 509
Best fit for generation 2: 509
Best fit for generation 3: 509
Best fit for generation 4: 509
Best fit for generation 5: 509
Best fit for generation 6: 509
Best fit for generation 7: 509
Best fit for generation 8: 509
Best fit for generation 9: 509
Best fit for generation 10: 509
Best fit for generation 11: 509
Best fit for generation 12: 509
Best fit for generation 13: 509
Best fit for generation 14: 509
Best fit for generation 15: 509
Best fit for generation 16: 509
Best fit for generation 17: 509
Best fit for generation 18: 509
Best fit for generation 19: 509
Best fit for generation 20: 509
Best fit for generation 21: 509
Best fit for generation 22: 509
Best fit for generation 23: 509
Best fit for generation 24: 509
Best fit for generation 25: 509
Best fit for generation 26: 509
Best fit for generation 27: 509
Best fit for generation 28: 509
Best fit for generation 29: 509
Best fit for generation 30: 509
Best fit for generation 31: 509
Best fit for generation 32: 509
Best fit for generation 33: 509
Best fit for generation 34: 509
Best fit for generation 35: 509
Best fit for generation 36: 509
Best fit for generation 37: 509
Best fit for generation 38: 509
Best fit for generation 39: 509
Best fit for generation 40: 509
Best fit for generation 41: 509
Best fit for generation 42: 509
Best fit for generation 43: 509
Best fit for generation 44: 509
Best fit for generation 45: 509
Best fit for generation 46: 509
Best fit for generation 47: 509
Best fit for generation 48: 509
Best fit for generation 49: 509
Best fit for generation 50: 509
Best fit for generation 51: 509
Best fit for generation 52: 509
Best fit for generation 53: 509
Best fit for generation 54: 509
Best fit for generation 55: 509
Best fit for generation 56: 509
Best fit for generation 57: 509
Best fit for generation 58: 509
Best fit for generation 59: 509
Best fit for generation 60: 509
Best fit for generation 61: 509
Best fit for generation 62: 509
Best fit for generation 63: 509
Best fit for generation 64: 509
Best fit for generation 65: 509
Best fit for generation 66: 509
Best fit for generation 67: 509
Best fit for generation 68: 509
Best fit for generation 69: 509
Best fit for generation 70: 509
Best fit for generation 71: 509
Best fit for generation 72: 509
Best fit for generation 73: 509
Best fit for generation 74: 509
Best fit for generation 75: 509
Best fit for generation 76: 509
Best fit for generation 77: 509
Best fit for generation 78: 509
Best fit for generation 79: 509
Best fit for generation 80: 509
Best fit for generation 81: 509
Best fit for generation 82: 509
Best fit for generation 83: 509
Best fit for generation 84: 509
Best fit for generation 85: 509
Best fit for generation 86: 509
Best fit for generation 87: 509
Best fit for generation 88: 509
Best fit for generation 89: 509
Best fit for generation 90: 509
Best fit for generation 91: 509
Best fit for generation 92: 509
Best fit for generation 93: 509
Best fit for generation 94: 509
Best fit for generation 95: 509
Best fit for generation 96: 509
Best fit for generation 97: 509
Best fit for generation 98: 509
Best fit for generation 99: 509
Best fit for generation 100: 509
Best fit for generation 101: 509
Best fit for generation 102: 509
Best fit for generation 103: 509
Best fit for generation 104: 509
Best fit for generation 105: 509
Best fit for generation 106: 509
Best fit for generation 107: 509
Best fit for generation 108: 509
Best fit for generation 109: 509
Best fit for generation 110: 509
Best fit for generation 111: 509
Best fit for generation 112: 509
Best fit for generation 113: 509
Best fit for generation 114: 509
Best fit for generation 115: 509
Best fit for generation 116: 509
Best fit for generation 117: 509
Best fit for generation 118: 509
Best fit for generation 119: 509
Best fit for generation 120: 509
Best fit for generation 121: 509
Best fit for generation 122: 509
Best fit for generation 123: 509
Best fit for generation 124: 509
Best fit for generation 125: 509
Best fit for generation 126: 509
Best fit for generation 127: 509
Best fit for generation 128: 509
Best fit for generation 129: 509
Best fit for generation 130: 509
Best fit for generation 131: 509
Best fit for generation 132: 509
Best fit for generation 133: 509
Best fit for generation 134: 509
Best fit for generation 135: 509
Best fit for generation 136: 509
Best fit for generation 137: 509
Best fit for generation 138: 509
Best fit for generation 139: 509
Best fit for generation 140: 509
Best fit for generation 141: 509
Best fit for generation 142: 509
Best fit for generation 143: 509
Best fit for generation 144: 509
Best fit for generation 145: 509
Best fit for generation 146: 509
Best fit for generation 147: 509
Best fit for generation 148: 509
Best fit for generation 149: 509
Best fit for generation 150: 509
Best fit for generation 151: 509
