Maximum fit for each generation: 
Best fit for generation 0: 385
Best fit for generation 1: 385
Best fit for generation 2: 385
Best fit for generation 3: 385
Best fit for generation 4: 385
Best fit for generation 5: 385
Best fit for generation 6: 385
Best fit for generation 7: 385
Best fit for generation 8: 385
Best fit for generation 9: 385
Best fit for generation 10: 385
Best fit for generation 11: 385
Best fit for generation 12: 385
Best fit for generation 13: 385
Best fit for generation 14: 385
Best fit for generation 15: 385
Best fit for generation 16: 385
Best fit for generation 17: 385
Best fit for generation 18: 385
Best fit for generation 19: 385
Best fit for generation 20: 385
Best fit for generation 21: 385
Best fit for generation 22: 385
Best fit for generation 23: 385
Best fit for generation 24: 385
Best fit for generation 25: 385
Best fit for generation 26: 385
Best fit for generation 27: 385
Best fit for generation 28: 385
Best fit for generation 29: 385
Best fit for generation 30: 385
Best fit for generation 31: 385
Best fit for generation 32: 385
Best fit for generation 33: 385
Best fit for generation 34: 385
Best fit for generation 35: 385
Best fit for generation 36: 385
Best fit for generation 37: 385
Best fit for generation 38: 385
Best fit for generation 39: 385
Best fit for generation 40: 385
Best fit for generation 41: 385
Best fit for generation 42: 385
Best fit for generation 43: 385
Best fit for generation 44: 385
Best fit for generation 45: 385
Best fit for generation 46: 385
Best fit for generation 47: 385
Best fit for generation 48: 385
Best fit for generation 49: 385
Best fit for generation 50: 385
Best fit for generation 51: 385
Best fit for generation 52: 387
Best fit for generation 53: 387
Best fit for generation 54: 387
Best fit for generation 55: 387
Best fit for generation 56: 387
Best fit for generation 57: 387
Best fit for generation 58: 387
Best fit for generation 59: 413
Best fit for generation 60: 413
Best fit for generation 61: 413
Best fit for generation 62: 413
Best fit for generation 63: 413
Best fit for generation 64: 413
Best fit for generation 65: 413
Best fit for generation 66: 413
Best fit for generation 67: 413
Best fit for generation 68: 413
Best fit for generation 69: 413
Best fit for generation 70: 413
Best fit for generation 71: 413
Best fit for generation 72: 413
Best fit for generation 73: 413
Best fit for generation 74: 413
Best fit for generation 75: 413
Best fit for generation 76: 413
Best fit for generation 77: 413
Best fit for generation 78: 413
Best fit for generation 79: 413
Best fit for generation 80: 413
Best fit for generation 81: 413
Best fit for generation 82: 413
Best fit for generation 83: 413
Best fit for generation 84: 413
Best fit for generation 85: 413
Best fit for generation 86: 413
Best fit for generation 87: 413
Best fit for generation 88: 413
Best fit for generation 89: 413
Best fit for generation 90: 413
Best fit for generation 91: 413
Best fit for generation 92: 413
Best fit for generation 93: 413
Best fit for generation 94: 413
Best fit for generation 95: 413
Best fit for generation 96: 413
Best fit for generation 97: 413
Best fit for generation 98: 413
Best fit for generation 99: 413
Best fit for generation 100: 413
Best fit for generation 101: 413
Best fit for generation 102: 413
Best fit for generation 103: 413
Best fit for generation 104: 413
Best fit for generation 105: 413
Best fit for generation 106: 413
Best fit for generation 107: 413
Best fit for generation 108: 413
Best fit for generation 109: 413
Best fit for generation 110: 413
