Generation,Best,Time,Total_Time
0,401,0.056,0.056
1,412,0.011,0.067
2,412,0.052,0.119
3,412,0.012,0.131
4,412,0.014,0.145
5,412,0.071,0.216
6,412,0.015,0.231
7,412,0.005,0.236
8,412,0.013,0.249
9,418,0.007,0.256
10,418,0.004,0.260
11,418,0.005,0.265
12,418,0.024,0.289
13,418,0.006,0.295
14,418,0.006,0.301
15,418,0.004,0.305
16,418,0.004,0.309
17,418,0.004,0.313
18,418,0.004,0.317
19,418,0.004,0.321
20,418,0.003,0.324
21,418,0.004,0.328
22,418,0.004,0.332
23,418,0.004,0.336
24,418,0.004,0.340
25,418,0.004,0.344
26,418,0.003,0.347
27,418,0.004,0.351
28,418,0.004,0.355
29,418,0.004,0.359
30,419,0.004,0.363
31,419,0.005,0.368
32,419,0.005,0.373
33,419,0.004,0.377
34,419,0.004,0.381
35,419,0.004,0.385
36,419,0.003,0.388
37,419,0.004,0.392
38,419,0.003,0.395
39,419,0.006,0.401
40,419,0.005,0.406
41,419,0.005,0.411
42,419,0.003,0.414
43,419,0.003,0.417
44,419,0.003,0.420
45,419,0.003,0.423
46,419,0.005,0.428
47,419,0.003,0.431
48,419,0.004,0.435
49,419,0.003,0.438
50,419,0.002,0.440
51,419,0.004,0.444
52,419,0.002,0.446
53,419,0.002,0.448
54,419,0.003,0.451
55,419,0.003,0.454
56,419,0.002,0.456
57,419,0.004,0.460
58,419,0.004,0.464
59,419,0.003,0.467
60,419,0.002,0.469
61,419,0.002,0.471
62,419,0.003,0.474
63,419,0.003,0.477
64,419,0.003,0.480
65,419,0.003,0.483
66,419,0.003,0.486
67,419,0.003,0.489
68,419,0.002,0.491
69,419,0.002,0.493
70,419,0.004,0.497
71,419,0.004,0.501
72,419,0.003,0.504
73,419,0.004,0.508
74,419,0.003,0.511
75,419,0.003,0.514
76,419,0.003,0.517
77,419,0.003,0.520
78,419,0.002,0.522
79,419,0.004,0.526
80,419,0.003,0.529
81,419,0.003,0.532
82,419,0.003,0.535
83,419,0.003,0.538
84,419,0.003,0.541
85,419,0.003,0.544
86,419,0.004,0.548
87,419,0.004,0.552
88,419,0.003,0.555
89,419,0.004,0.559
90,419,0.004,0.563
91,419,0.006,0.569
92,419,0.006,0.575
93,419,0.004,0.579
94,419,0.004,0.583
95,419,0.004,0.587
96,419,0.003,0.590
97,419,0.005,0.595
98,419,0.006,0.601
99,419,0.004,0.605
100,419,0.003,0.608
101,419,0.003,0.611
102,419,0.003,0.614
103,419,0.002,0.616
104,419,0.002,0.618
105,419,0.004,0.622
106,419,0.004,0.626
107,419,0.004,0.630
108,449,0.003,0.633
109,449,0.002,0.635
110,449,0.003,0.638
111,449,0.004,0.642
112,449,0.004,0.646
113,449,0.004,0.650
114,449,0.005,0.655
115,449,0.004,0.659
116,449,0.003,0.662
117,449,0.005,0.667
118,449,0.004,0.671
119,449,0.005,0.676
120,449,0.004,0.680
121,449,0.004,0.684
122,449,0.003,0.687
123,449,0.003,0.690
124,449,0.003,0.693
125,449,0.004,0.697
126,449,0.003,0.700
127,449,0.003,0.703
128,449,0.003,0.706
129,449,0.003,0.709
130,449,0.003,0.712
131,449,0.004,0.716
132,449,0.003,0.719
133,449,0.003,0.722
134,449,0.003,0.725
135,449,0.004,0.729
136,449,0.004,0.733
137,449,0.004,0.737
138,449,0.003,0.740
139,449,0.003,0.743
140,449,0.004,0.747
141,449,0.004,0.751
142,449,0.003,0.754
143,449,0.004,0.758
144,449,0.005,0.763
145,449,0.008,0.771
146,449,0.004,0.775
147,449,0.003,0.778
148,449,0.003,0.781
149,449,0.003,0.784
150,449,0.003,0.787
151,449,0.005,0.792
152,449,0.002,0.794
153,449,0.003,0.797
154,449,0.003,0.800
155,449,0.002,0.802
156,449,0.003,0.805
157,449,0.002,0.807
158,449,0.002,0.809
159,449,0.003,0.812
160,449,0.003,0.815
161,449,0.002,0.817
162,449,0.002,0.819
163,449,0.002,0.821
164,449,0.002,0.823
165,449,0.003,0.826
166,449,0.004,0.830
167,449,0.003,0.833
168,449,0.003,0.836
169,449,0.003,0.839
170,449,0.002,0.841
171,449,0.002,0.843
172,449,0.002,0.845
173,449,0.003,0.848
174,449,0.002,0.850
175,449,0.002,0.852
176,449,0.003,0.855
177,449,0.004,0.859
178,449,0.004,0.863
179,449,0.003,0.866
180,449,0.003,0.869
181,449,0.003,0.872
182,449,0.002,0.874
183,449,0.002,0.876
184,449,0.002,0.878
185,449,0.003,0.881
186,449,0.002,0.883
187,449,0.002,0.885
188,449,0.003,0.888
189,449,0.002,0.890
190,449,0.003,0.893
191,449,0.002,0.895
192,449,0.003,0.898
193,449,0.004,0.902
194,449,0.002,0.904
195,449,0.002,0.906
196,449,0.002,0.908
197,449,0.003,0.911
198,449,0.003,0.914
199,449,0.002,0.916
200,449,0.002,0.918
201,449,0.002,0.920
202,449,0.002,0.922
203,449,0.003,0.925
204,449,0.002,0.927
205,449,0.003,0.930
206,449,0.003,0.933
207,449,0.002,0.935
208,449,0.003,0.938
209,449,0.002,0.940
