Maximum fit for each generation: 
Best fit for generation 0: 385
Best fit for generation 1: 385
Best fit for generation 2: 385
Best fit for generation 3: 385
Best fit for generation 4: 385
Best fit for generation 5: 385
Best fit for generation 6: 385
Best fit for generation 7: 385
Best fit for generation 8: 385
Best fit for generation 9: 385
Best fit for generation 10: 385
Best fit for generation 11: 385
Best fit for generation 12: 385
Best fit for generation 13: 385
Best fit for generation 14: 385
Best fit for generation 15: 385
Best fit for generation 16: 385
Best fit for generation 17: 385
Best fit for generation 18: 385
Best fit for generation 19: 385
Best fit for generation 20: 385
Best fit for generation 21: 385
Best fit for generation 22: 385
Best fit for generation 23: 385
Best fit for generation 24: 385
Best fit for generation 25: 385
Best fit for generation 26: 385
Best fit for generation 27: 385
Best fit for generation 28: 385
Best fit for generation 29: 385
Best fit for generation 30: 385
Best fit for generation 31: 385
Best fit for generation 32: 385
Best fit for generation 33: 385
Best fit for generation 34: 385
Best fit for generation 35: 400
Best fit for generation 36: 400
Best fit for generation 37: 400
Best fit for generation 38: 400
Best fit for generation 39: 400
Best fit for generation 40: 400
Best fit for generation 41: 400
Best fit for generation 42: 400
Best fit for generation 43: 400
Best fit for generation 44: 400
Best fit for generation 45: 400
Best fit for generation 46: 400
Best fit for generation 47: 400
Best fit for generation 48: 400
Best fit for generation 49: 400
Best fit for generation 50: 400
Best fit for generation 51: 400
Best fit for generation 52: 400
Best fit for generation 53: 400
Best fit for generation 54: 400
Best fit for generation 55: 400
Best fit for generation 56: 400
Best fit for generation 57: 400
Best fit for generation 58: 447
Best fit for generation 59: 447
Best fit for generation 60: 447
Best fit for generation 61: 447
Best fit for generation 62: 447
Best fit for generation 63: 447
Best fit for generation 64: 447
Best fit for generation 65: 447
Best fit for generation 66: 447
Best fit for generation 67: 447
Best fit for generation 68: 447
Best fit for generation 69: 447
Best fit for generation 70: 447
Best fit for generation 71: 447
Best fit for generation 72: 447
Best fit for generation 73: 447
Best fit for generation 74: 447
Best fit for generation 75: 447
Best fit for generation 76: 447
Best fit for generation 77: 447
Best fit for generation 78: 447
Best fit for generation 79: 447
Best fit for generation 80: 447
Best fit for generation 81: 447
Best fit for generation 82: 447
Best fit for generation 83: 447
Best fit for generation 84: 447
Best fit for generation 85: 447
Best fit for generation 86: 447
Best fit for generation 87: 447
Best fit for generation 88: 447
Best fit for generation 89: 447
Best fit for generation 90: 447
Best fit for generation 91: 447
Best fit for generation 92: 447
Best fit for generation 93: 447
Best fit for generation 94: 447
Best fit for generation 95: 447
Best fit for generation 96: 447
Best fit for generation 97: 447
Best fit for generation 98: 447
Best fit for generation 99: 447
Best fit for generation 100: 447
Best fit for generation 101: 447
Best fit for generation 102: 447
Best fit for generation 103: 447
Best fit for generation 104: 447
Best fit for generation 105: 447
Best fit for generation 106: 447
Best fit for generation 107: 447
Best fit for generation 108: 447
Best fit for generation 109: 447
Best fit for generation 110: 447
