Maximum fit for each generation: 
Best fit for generation 0: 389
Best fit for generation 1: 412
Best fit for generation 2: 412
Best fit for generation 3: 412
Best fit for generation 4: 412
Best fit for generation 5: 412
Best fit for generation 6: 412
Best fit for generation 7: 412
Best fit for generation 8: 412
Best fit for generation 9: 412
Best fit for generation 10: 412
Best fit for generation 11: 412
Best fit for generation 12: 412
Best fit for generation 13: 412
Best fit for generation 14: 412
Best fit for generation 15: 412
Best fit for generation 16: 412
Best fit for generation 17: 412
Best fit for generation 18: 412
Best fit for generation 19: 412
Best fit for generation 20: 412
Best fit for generation 21: 412
Best fit for generation 22: 412
Best fit for generation 23: 412
Best fit for generation 24: 412
Best fit for generation 25: 412
Best fit for generation 26: 412
Best fit for generation 27: 412
Best fit for generation 28: 412
Best fit for generation 29: 412
Best fit for generation 30: 412
Best fit for generation 31: 412
Best fit for generation 32: 412
Best fit for generation 33: 412
Best fit for generation 34: 412
Best fit for generation 35: 412
Best fit for generation 36: 412
Best fit for generation 37: 412
Best fit for generation 38: 412
Best fit for generation 39: 412
Best fit for generation 40: 412
Best fit for generation 41: 412
Best fit for generation 42: 412
Best fit for generation 43: 412
Best fit for generation 44: 412
Best fit for generation 45: 412
Best fit for generation 46: 412
Best fit for generation 47: 412
Best fit for generation 48: 412
Best fit for generation 49: 412
Best fit for generation 50: 412
Best fit for generation 51: 412
Best fit for generation 52: 412
Best fit for generation 53: 412
Best fit for generation 54: 412
Best fit for generation 55: 412
Best fit for generation 56: 412
Best fit for generation 57: 412
Best fit for generation 58: 412
Best fit for generation 59: 412
Best fit for generation 60: 412
Best fit for generation 61: 412
Best fit for generation 62: 412
Best fit for generation 63: 412
Best fit for generation 64: 412
Best fit for generation 65: 412
Best fit for generation 66: 412
Best fit for generation 67: 412
Best fit for generation 68: 412
Best fit for generation 69: 412
Best fit for generation 70: 412
Best fit for generation 71: 412
Best fit for generation 72: 412
Best fit for generation 73: 412
Best fit for generation 74: 412
Best fit for generation 75: 412
Best fit for generation 76: 412
Best fit for generation 77: 412
Best fit for generation 78: 412
Best fit for generation 79: 412
Best fit for generation 80: 412
Best fit for generation 81: 412
Best fit for generation 82: 412
Best fit for generation 83: 412
Best fit for generation 84: 412
Best fit for generation 85: 412
Best fit for generation 86: 412
Best fit for generation 87: 412
Best fit for generation 88: 412
Best fit for generation 89: 412
Best fit for generation 90: 412
Best fit for generation 91: 412
Best fit for generation 92: 412
Best fit for generation 93: 412
Best fit for generation 94: 412
Best fit for generation 95: 412
Best fit for generation 96: 412
Best fit for generation 97: 412
Best fit for generation 98: 412
Best fit for generation 99: 412
Best fit for generation 100: 412
Best fit for generation 101: 412
Best fit for generation 102: 412
Best fit for generation 103: 412
Best fit for generation 104: 412
Best fit for generation 105: 412
Best fit for generation 106: 412
Best fit for generation 107: 412
Best fit for generation 108: 412
Best fit for generation 109: 412
Best fit for generation 110: 412
Best fit for generation 111: 412
Best fit for generation 112: 412
Best fit for generation 113: 412
Best fit for generation 114: 412
Best fit for generation 115: 412
Best fit for generation 116: 412
Best fit for generation 117: 412
Best fit for generation 118: 412
Best fit for generation 119: 412
Best fit for generation 120: 412
Best fit for generation 121: 412
Best fit for generation 122: 412
Best fit for generation 123: 412
Best fit for generation 124: 412
Best fit for generation 125: 412
Best fit for generation 126: 412
Best fit for generation 127: 412
Best fit for generation 128: 412
Best fit for generation 129: 412
Best fit for generation 130: 412
Best fit for generation 131: 412
Best fit for generation 132: 412
Best fit for generation 133: 412
Best fit for generation 134: 412
Best fit for generation 135: 412
Best fit for generation 136: 412
Best fit for generation 137: 412
Best fit for generation 138: 412
Best fit for generation 139: 412
Best fit for generation 140: 412
Best fit for generation 141: 412
Best fit for generation 142: 412
Best fit for generation 143: 412
Best fit for generation 144: 412
Best fit for generation 145: 412
Best fit for generation 146: 412
Best fit for generation 147: 412
Best fit for generation 148: 412
Best fit for generation 149: 412
Best fit for generation 150: 412
Best fit for generation 151: 412
Best fit for generation 152: 412
Best fit for generation 153: 412
Best fit for generation 154: 412
Best fit for generation 155: 412
Best fit for generation 156: 412
Best fit for generation 157: 412
Best fit for generation 158: 412
Best fit for generation 159: 412
Best fit for generation 160: 412
Best fit for generation 161: 412
Best fit for generation 162: 412
Best fit for generation 163: 412
Best fit for generation 164: 412
Best fit for generation 165: 415
Best fit for generation 166: 415
Best fit for generation 167: 415
Best fit for generation 168: 415
Best fit for generation 169: 415
Best fit for generation 170: 415
Best fit for generation 171: 415
Best fit for generation 172: 415
Best fit for generation 173: 415
Best fit for generation 174: 415
Best fit for generation 175: 415
Best fit for generation 176: 415
Best fit for generation 177: 415
Best fit for generation 178: 415
Best fit for generation 179: 415
Best fit for generation 180: 415
Best fit for generation 181: 415
Best fit for generation 182: 415
Best fit for generation 183: 415
Best fit for generation 184: 415
Best fit for generation 185: 415
Best fit for generation 186: 415
Best fit for generation 187: 415
Best fit for generation 188: 415
Best fit for generation 189: 415
Best fit for generation 190: 415
Best fit for generation 191: 415
Best fit for generation 192: 415
Best fit for generation 193: 415
Best fit for generation 194: 415
Best fit for generation 195: 415
Best fit for generation 196: 415
Best fit for generation 197: 415
Best fit for generation 198: 415
Best fit for generation 199: 415
Best fit for generation 200: 415
Best fit for generation 201: 415
Best fit for generation 202: 415
Best fit for generation 203: 415
Best fit for generation 204: 415
Best fit for generation 205: 415
Best fit for generation 206: 415
Best fit for generation 207: 415
Best fit for generation 208: 415
Best fit for generation 209: 415
Best fit for generation 210: 415
Best fit for generation 211: 415
Best fit for generation 212: 415
Best fit for generation 213: 415
Best fit for generation 214: 415
Best fit for generation 215: 415
Best fit for generation 216: 415
Best fit for generation 217: 415
Best fit for generation 218: 434
Best fit for generation 219: 434
Best fit for generation 220: 434
Best fit for generation 221: 434
Best fit for generation 222: 434
Best fit for generation 223: 434
Best fit for generation 224: 434
Best fit for generation 225: 434
Best fit for generation 226: 434
Best fit for generation 227: 434
Best fit for generation 228: 434
Best fit for generation 229: 434
Best fit for generation 230: 434
Best fit for generation 231: 434
Best fit for generation 232: 434
Best fit for generation 233: 434
Best fit for generation 234: 434
Best fit for generation 235: 434
Best fit for generation 236: 434
Best fit for generation 237: 434
Best fit for generation 238: 434
Best fit for generation 239: 434
Best fit for generation 240: 434
Best fit for generation 241: 434
Best fit for generation 242: 434
Best fit for generation 243: 434
Best fit for generation 244: 434
Best fit for generation 245: 434
Best fit for generation 246: 434
Best fit for generation 247: 434
Best fit for generation 248: 434
Best fit for generation 249: 434
Best fit for generation 250: 434
Best fit for generation 251: 434
Best fit for generation 252: 434
Best fit for generation 253: 434
Best fit for generation 254: 434
Best fit for generation 255: 449
Best fit for generation 256: 449
Best fit for generation 257: 449
Best fit for generation 258: 449
Best fit for generation 259: 449
Best fit for generation 260: 449
Best fit for generation 261: 449
Best fit for generation 262: 449
Best fit for generation 263: 449
Best fit for generation 264: 449
Best fit for generation 265: 449
Best fit for generation 266: 449
Best fit for generation 267: 449
Best fit for generation 268: 449
Best fit for generation 269: 449
Best fit for generation 270: 449
Best fit for generation 271: 449
Best fit for generation 272: 449
Best fit for generation 273: 449
Best fit for generation 274: 449
Best fit for generation 275: 449
Best fit for generation 276: 449
Best fit for generation 277: 449
Best fit for generation 278: 449
Best fit for generation 279: 449
Best fit for generation 280: 449
Best fit for generation 281: 449
Best fit for generation 282: 449
Best fit for generation 283: 449
Best fit for generation 284: 449
Best fit for generation 285: 449
Best fit for generation 286: 449
Best fit for generation 287: 449
Best fit for generation 288: 449
Best fit for generation 289: 449
Best fit for generation 290: 449
Best fit for generation 291: 449
Best fit for generation 292: 449
Best fit for generation 293: 449
Best fit for generation 294: 449
Best fit for generation 295: 449
Best fit for generation 296: 449
Best fit for generation 297: 449
Best fit for generation 298: 449
Best fit for generation 299: 449
Best fit for generation 300: 449
Best fit for generation 301: 449
Best fit for generation 302: 449
Best fit for generation 303: 449
Best fit for generation 304: 449
Best fit for generation 305: 449
Best fit for generation 306: 449
Best fit for generation 307: 449
Best fit for generation 308: 449
Best fit for generation 309: 449
Best fit for generation 310: 449
Best fit for generation 311: 449
Best fit for generation 312: 449
Best fit for generation 313: 449
Best fit for generation 314: 449
Best fit for generation 315: 449
Best fit for generation 316: 449
Best fit for generation 317: 449
Best fit for generation 318: 449
Best fit for generation 319: 449
Best fit for generation 320: 449
Best fit for generation 321: 449
Best fit for generation 322: 449
Best fit for generation 323: 449
Best fit for generation 324: 449
Best fit for generation 325: 449
Best fit for generation 326: 449
Best fit for generation 327: 449
Best fit for generation 328: 449
Best fit for generation 329: 449
Best fit for generation 330: 449
Best fit for generation 331: 449
Best fit for generation 332: 449
Best fit for generation 333: 449
Best fit for generation 334: 449
Best fit for generation 335: 449
Best fit for generation 336: 449
Best fit for generation 337: 449
Best fit for generation 338: 449
Best fit for generation 339: 449
Best fit for generation 340: 449
Best fit for generation 341: 449
Best fit for generation 342: 449
Best fit for generation 343: 449
Best fit for generation 344: 449
Best fit for generation 345: 449
Best fit for generation 346: 449
Best fit for generation 347: 449
Best fit for generation 348: 449
Best fit for generation 349: 449
Best fit for generation 350: 449
Best fit for generation 351: 449
Best fit for generation 352: 449
Best fit for generation 353: 449
Best fit for generation 354: 449
Best fit for generation 355: 449
Best fit for generation 356: 449
Best fit for generation 357: 449
Best fit for generation 358: 449
Best fit for generation 359: 449
Best fit for generation 360: 449
Best fit for generation 361: 449
Best fit for generation 362: 449
Best fit for generation 363: 449
Best fit for generation 364: 449
Best fit for generation 365: 449
Best fit for generation 366: 449
Best fit for generation 367: 449
Best fit for generation 368: 449
Best fit for generation 369: 449
Best fit for generation 370: 449
Best fit for generation 371: 449
Best fit for generation 372: 449
Best fit for generation 373: 449
Best fit for generation 374: 449
Best fit for generation 375: 449
Best fit for generation 376: 449
Best fit for generation 377: 449
Best fit for generation 378: 449
Best fit for generation 379: 449
Best fit for generation 380: 449
Best fit for generation 381: 449
Best fit for generation 382: 449
Best fit for generation 383: 449
Best fit for generation 384: 449
Best fit for generation 385: 449
Best fit for generation 386: 449
Best fit for generation 387: 449
Best fit for generation 388: 449
Best fit for generation 389: 449
Best fit for generation 390: 449
Best fit for generation 391: 449
Best fit for generation 392: 449
Best fit for generation 393: 449
Best fit for generation 394: 449
Best fit for generation 395: 449
Best fit for generation 396: 449
Best fit for generation 397: 449
Best fit for generation 398: 449
Best fit for generation 399: 449
Best fit for generation 400: 449
Best fit for generation 401: 449
Best fit for generation 402: 449
Best fit for generation 403: 449
Best fit for generation 404: 449
Best fit for generation 405: 449
Best fit for generation 406: 449
Best fit for generation 407: 449
Best fit for generation 408: 449
Best fit for generation 409: 449
Best fit for generation 410: 449
Best fit for generation 411: 449
Best fit for generation 412: 449
Best fit for generation 413: 449
Best fit for generation 414: 449
Best fit for generation 415: 449
Best fit for generation 416: 449
Best fit for generation 417: 449
Best fit for generation 418: 449
Best fit for generation 419: 449
Best fit for generation 420: 449
Best fit for generation 421: 449
Best fit for generation 422: 449
Best fit for generation 423: 449
Best fit for generation 424: 449
Best fit for generation 425: 449
Best fit for generation 426: 449
Best fit for generation 427: 449
Best fit for generation 428: 449
Best fit for generation 429: 449
Best fit for generation 430: 449
Best fit for generation 431: 449
Best fit for generation 432: 449
Best fit for generation 433: 449
Best fit for generation 434: 449
Best fit for generation 435: 449
Best fit for generation 436: 449
Best fit for generation 437: 449
Best fit for generation 438: 449
Best fit for generation 439: 449
