Generation,Best,Time,Total_Time
0,389,0.074,0.074
1,412,0.012,0.086
2,412,0.006,0.092
3,412,0.006,0.098
4,412,0.007,0.105
5,412,0.003,0.108
6,412,0.006,0.114
7,412,0.005,0.119
8,412,0.004,0.123
9,412,0.002,0.125
10,412,0.006,0.131
11,412,0.004,0.135
12,412,0.008,0.143
13,412,0.005,0.148
14,412,0.003,0.151
15,412,0.003,0.154
16,412,0.003,0.157
17,412,0.003,0.160
18,412,0.003,0.163
19,412,0.002,0.165
20,412,0.003,0.168
21,412,0.002,0.170
22,412,0.002,0.172
23,412,0.002,0.174
24,412,0.004,0.178
25,412,0.002,0.180
26,412,0.004,0.184
27,412,0.003,0.187
28,412,0.003,0.190
29,412,0.006,0.196
30,412,0.004,0.200
31,412,0.004,0.204
32,412,0.004,0.208
33,412,0.004,0.212
34,412,0.006,0.218
35,412,0.005,0.223
36,412,0.004,0.227
37,412,0.004,0.231
38,412,0.002,0.233
39,412,0.004,0.237
40,412,0.004,0.241
41,412,0.002,0.243
42,412,0.003,0.246
43,412,0.004,0.250
44,412,0.003,0.253
45,412,0.003,0.256
46,412,0.002,0.258
47,412,0.003,0.261
48,412,0.003,0.264
49,412,0.003,0.267
50,412,0.003,0.270
51,412,0.003,0.273
52,412,0.002,0.275
53,412,0.003,0.278
54,412,0.002,0.280
55,412,0.003,0.283
56,412,0.002,0.285
57,412,0.005,0.290
58,412,0.003,0.293
59,412,0.003,0.296
60,412,0.003,0.299
61,412,0.005,0.304
62,412,0.004,0.308
63,412,0.003,0.311
64,412,0.002,0.313
65,412,0.002,0.315
66,412,0.003,0.318
67,412,0.002,0.320
68,412,0.002,0.322
69,412,0.003,0.325
70,412,0.003,0.328
71,412,0.003,0.331
72,412,0.003,0.334
73,412,0.004,0.338
74,412,0.002,0.340
75,412,0.003,0.343
76,412,0.003,0.346
77,412,0.003,0.349
78,412,0.004,0.353
79,412,0.003,0.356
80,412,0.004,0.360
81,412,0.003,0.363
82,412,0.003,0.366
83,412,0.002,0.368
84,412,0.004,0.372
85,412,0.004,0.376
86,412,0.003,0.379
87,412,0.004,0.383
88,412,0.004,0.387
89,412,0.003,0.390
90,412,0.004,0.394
91,412,0.003,0.397
92,412,0.004,0.401
93,412,0.003,0.404
94,412,0.006,0.410
95,412,0.005,0.415
96,412,0.005,0.420
97,412,0.004,0.424
98,412,0.004,0.428
99,412,0.002,0.430
100,412,0.004,0.434
101,412,0.002,0.436
102,412,0.003,0.439
103,412,0.003,0.442
104,412,0.003,0.445
105,412,0.003,0.448
106,412,0.003,0.451
107,412,0.003,0.454
108,412,0.003,0.457
109,412,0.003,0.460
110,412,0.003,0.463
111,412,0.002,0.465
112,412,0.002,0.467
113,412,0.002,0.469
114,412,0.003,0.472
115,412,0.003,0.475
116,412,0.003,0.478
117,412,0.003,0.481
118,412,0.000,0.481
119,412,0.002,0.483
120,412,0.004,0.487
121,412,0.002,0.489
122,412,0.003,0.492
123,412,0.002,0.494
124,412,0.002,0.496
125,412,0.003,0.499
126,412,0.003,0.502
127,412,0.003,0.505
128,412,0.003,0.508
129,412,0.002,0.510
130,412,0.004,0.514
131,412,0.003,0.517
132,412,0.003,0.520
133,412,0.003,0.523
134,412,0.004,0.527
135,412,0.003,0.530
136,412,0.004,0.534
137,412,0.003,0.537
138,412,0.003,0.540
139,412,0.002,0.542
140,412,0.003,0.545
141,412,0.004,0.549
142,412,0.002,0.551
143,412,0.003,0.554
144,412,0.003,0.557
145,412,0.002,0.559
146,412,0.005,0.564
147,412,0.009,0.573
148,412,0.004,0.577
149,412,0.003,0.580
150,412,0.004,0.584
151,412,0.003,0.587
152,412,0.004,0.591
153,412,0.003,0.594
154,412,0.003,0.597
155,412,0.002,0.599
156,412,0.003,0.602
157,412,0.002,0.604
158,412,0.002,0.606
159,412,0.002,0.608
160,412,0.003,0.611
161,412,0.002,0.613
162,412,0.002,0.615
163,412,0.002,0.617
164,412,0.002,0.619
165,415,0.002,0.621
166,415,0.002,0.623
167,415,0.003,0.626
168,415,0.002,0.628
169,415,0.002,0.630
170,415,0.001,0.631
171,415,0.002,0.633
172,415,0.003,0.636
173,415,0.002,0.638
174,415,0.002,0.640
175,415,0.002,0.642
176,415,0.002,0.644
177,415,0.003,0.647
178,415,0.003,0.650
179,415,0.002,0.652
180,415,0.002,0.654
181,415,0.003,0.657
182,415,0.002,0.659
183,415,0.003,0.662
184,415,0.002,0.664
185,415,0.003,0.667
186,415,0.005,0.672
187,415,0.002,0.674
188,415,0.003,0.677
189,415,0.003,0.680
190,415,0.003,0.683
191,415,0.003,0.686
192,415,0.002,0.688
193,415,0.002,0.690
194,415,0.001,0.691
195,415,0.003,0.694
196,415,0.003,0.697
197,415,0.003,0.700
198,415,0.003,0.703
199,415,0.002,0.705
200,415,0.002,0.707
201,415,0.003,0.710
202,415,0.002,0.712
203,415,0.003,0.715
204,415,0.002,0.717
205,415,0.003,0.720
206,415,0.002,0.722
207,415,0.003,0.725
208,415,0.002,0.727
209,415,0.003,0.730
210,415,0.002,0.732
211,415,0.002,0.734
212,415,0.003,0.737
213,415,0.003,0.740
214,415,0.003,0.743
215,415,0.001,0.744
216,415,0.002,0.746
217,415,0.002,0.748
218,434,0.002,0.750
219,434,0.002,0.752
220,434,0.003,0.755
221,434,0.003,0.758
222,434,0.002,0.760
223,434,0.003,0.763
224,434,0.003,0.766
225,434,0.002,0.768
226,434,0.002,0.770
227,434,0.002,0.772
228,434,0.002,0.774
229,434,0.002,0.776
230,434,0.002,0.778
231,434,0.002,0.780
232,434,0.002,0.782
233,434,0.001,0.783
234,434,0.003,0.786
235,434,0.002,0.788
236,434,0.002,0.790
237,434,0.002,0.792
238,434,0.003,0.795
239,434,0.001,0.796
240,434,0.002,0.798
241,434,0.003,0.801
242,434,0.003,0.804
243,434,0.002,0.806
244,434,0.002,0.808
245,434,0.003,0.811
246,434,0.002,0.813
247,434,0.002,0.815
248,434,0.003,0.818
249,434,0.002,0.820
250,434,0.003,0.823
251,434,0.003,0.826
252,434,0.003,0.829
253,434,0.003,0.832
254,434,0.003,0.835
255,449,0.001,0.836
256,449,0.003,0.839
257,449,0.003,0.842
258,449,0.002,0.844
259,449,0.002,0.846
260,449,0.002,0.848
261,449,0.002,0.850
262,449,0.002,0.852
263,449,0.003,0.855
264,449,0.002,0.857
265,449,0.002,0.859
266,449,0.003,0.862
267,449,0.002,0.864
268,449,0.003,0.867
269,449,0.002,0.869
270,449,0.004,0.873
271,449,0.003,0.876
272,449,0.002,0.878
273,449,0.002,0.880
274,449,0.003,0.883
275,449,0.002,0.885
276,449,0.003,0.888
277,449,0.003,0.891
278,449,0.002,0.893
279,449,0.003,0.896
280,449,0.003,0.899
281,449,0.003,0.902
282,449,0.002,0.904
283,449,0.005,0.909
284,449,0.003,0.912
285,449,0.002,0.914
286,449,0.005,0.919
287,449,0.004,0.923
288,449,0.004,0.927
289,449,0.002,0.929
290,449,0.002,0.931
291,449,0.003,0.934
292,449,0.004,0.938
293,449,0.003,0.941
294,449,0.002,0.943
295,449,0.002,0.945
296,449,0.002,0.947
297,449,0.003,0.950
298,449,0.003,0.953
299,449,0.004,0.957
300,449,0.002,0.959
301,449,0.003,0.962
302,449,0.002,0.964
303,449,0.002,0.966
304,449,0.004,0.970
305,449,0.003,0.973
306,449,0.004,0.977
307,449,0.002,0.979
308,449,0.002,0.981
309,449,0.004,0.985
310,449,0.002,0.987
311,449,0.003,0.990
312,449,0.002,0.992
313,449,0.003,0.995
314,449,0.003,0.998
315,449,0.003,1.001
316,449,0.004,1.005
317,449,0.002,1.007
318,449,0.001,1.008
319,449,0.002,1.010
320,449,0.003,1.013
321,449,0.002,1.015
322,449,0.003,1.018
323,449,0.002,1.020
324,449,0.002,1.022
325,449,0.002,1.024
326,449,0.002,1.026
327,449,0.002,1.028
328,449,0.002,1.030
329,449,0.002,1.032
330,449,0.002,1.034
331,449,0.002,1.036
332,449,0.003,1.039
333,449,0.002,1.041
334,449,0.003,1.044
335,449,0.003,1.047
336,449,0.003,1.050
337,449,0.003,1.053
338,449,0.003,1.056
339,449,0.002,1.058
340,449,0.005,1.063
341,449,0.003,1.066
342,449,0.007,1.073
343,449,0.003,1.076
344,449,0.002,1.078
345,449,0.004,1.082
346,449,0.004,1.086
347,449,0.005,1.091
348,449,0.003,1.094
349,449,0.004,1.098
350,449,0.003,1.101
351,449,0.003,1.104
352,449,0.003,1.107
353,449,0.004,1.111
354,449,0.003,1.114
355,449,0.003,1.117
356,449,0.002,1.119
357,449,0.003,1.122
358,449,0.007,1.129
359,449,0.004,1.133
360,449,0.004,1.137
361,449,0.003,1.140
362,449,0.004,1.144
363,449,0.003,1.147
364,449,0.004,1.151
365,449,0.004,1.155
366,449,0.004,1.159
367,449,0.004,1.163
368,449,0.004,1.167
369,449,0.003,1.170
370,449,0.005,1.175
371,449,0.003,1.178
372,449,0.003,1.181
373,449,0.004,1.185
374,449,0.002,1.187
375,449,0.003,1.190
376,449,0.003,1.193
377,449,0.002,1.195
378,449,0.004,1.199
379,449,0.004,1.203
380,449,0.004,1.207
381,449,0.002,1.209
382,449,0.002,1.211
383,449,0.005,1.216
384,449,0.006,1.222
385,449,0.005,1.227
386,449,0.002,1.229
387,449,0.004,1.233
388,449,0.002,1.235
389,449,0.002,1.237
390,449,0.005,1.242
391,449,0.004,1.246
392,449,0.005,1.251
393,449,0.002,1.253
394,449,0.006,1.259
395,449,0.007,1.266
396,449,0.002,1.268
397,449,0.004,1.272
398,449,0.005,1.277
399,449,0.003,1.280
400,449,0.003,1.283
401,449,0.004,1.287
402,449,0.004,1.291
403,449,0.002,1.293
