Generation,Best,Time,Total_Time
0,405,0.251,0.251
1,407,0.077,0.328
2,407,0.069,0.397
3,407,0.093,0.490
4,407,0.067,0.557
5,407,0.058,0.615
6,407,0.098,0.713
7,407,0.070,0.783
8,414,0.088,0.871
9,419,0.100,0.971
10,419,0.089,1.060
11,419,0.048,1.108
12,419,0.071,1.179
13,419,0.053,1.232
14,419,0.053,1.285
15,419,0.110,1.395
16,447,0.086,1.481
17,447,0.059,1.540
18,447,0.068,1.608
19,447,0.044,1.652
20,447,0.062,1.714
21,447,0.042,1.756
22,447,0.056,1.812
23,447,0.041,1.853
24,447,0.044,1.897
25,447,0.037,1.934
26,447,0.044,1.978
27,447,0.128,2.106
28,447,0.033,2.139
29,447,0.039,2.178
30,447,0.033,2.211
31,447,0.027,2.238
32,447,0.027,2.265
33,448,0.026,2.291
34,448,0.026,2.317
35,448,0.033,2.350
36,448,0.035,2.385
37,448,0.031,2.416
38,448,0.032,2.448
39,448,0.036,2.484
40,448,0.031,2.515
41,448,0.031,2.546
42,449,0.034,2.580
43,449,0.033,2.613
44,449,0.025,2.638
45,449,0.028,2.666
46,449,0.031,2.697
47,449,0.028,2.725
48,449,0.043,2.768
49,449,0.039,2.807
50,449,0.041,2.848
51,449,0.026,2.874
52,449,0.046,2.920
53,449,0.039,2.959
54,449,0.044,3.003
55,449,0.038,3.041
56,449,0.030,3.071
57,449,0.025,3.096
58,449,0.033,3.129
59,449,0.034,3.163
60,449,0.032,3.195
61,449,0.025,3.220
62,449,0.030,3.250
63,449,0.027,3.277
64,449,0.025,3.302
65,449,0.029,3.331
66,449,0.023,3.354
67,449,0.028,3.382
68,449,0.026,3.408
69,479,0.029,3.437
70,479,0.027,3.464
71,479,0.029,3.493
72,479,0.037,3.530
73,479,0.030,3.560
74,479,0.030,3.590
75,479,0.034,3.624
76,479,0.033,3.657
77,479,0.039,3.696
78,479,0.039,3.735
79,479,0.034,3.769
80,479,0.035,3.804
81,479,0.030,3.834
82,479,0.028,3.862
83,479,0.033,3.895
84,479,0.033,3.928
85,479,0.030,3.958
86,479,0.029,3.987
87,479,0.023,4.010
88,479,0.022,4.032
89,479,0.026,4.058
90,479,0.030,4.088
91,479,0.022,4.110
92,479,0.028,4.138
93,479,0.028,4.166
94,479,0.034,4.200
95,479,0.034,4.234
96,479,0.033,4.267
97,479,0.037,4.304
98,479,0.034,4.338
99,479,0.041,4.379
100,479,0.065,4.444
101,479,0.021,4.465
102,479,0.025,4.490
103,479,0.030,4.520
104,479,0.041,4.561
105,479,0.034,4.595
106,479,0.033,4.628
107,479,0.041,4.669
108,479,0.030,4.699
109,479,0.025,4.724
110,479,0.024,4.748
111,479,0.030,4.778
