Generation,Best,Time,Total_Time
0,401,0.030,0.030
1,401,0.009,0.039
2,401,0.019,0.058
3,401,0.015,0.073
4,401,0.000,0.073
5,401,0.013,0.086
6,401,0.000,0.086
7,401,0.008,0.094
8,401,0.003,0.097
9,401,0.002,0.099
10,401,0.002,0.101
11,401,0.003,0.104
12,401,0.007,0.111
13,401,0.003,0.114
14,401,0.002,0.116
15,401,0.005,0.121
16,401,0.002,0.123
17,401,0.005,0.128
18,401,0.001,0.129
19,401,0.007,0.136
20,401,0.005,0.141
21,401,0.001,0.142
22,401,0.009,0.151
23,401,0.000,0.151
24,401,0.007,0.158
25,401,0.002,0.160
26,401,0.003,0.163
27,401,0.002,0.165
28,401,0.000,0.165
29,401,0.010,0.175
30,401,0.003,0.178
31,401,0.004,0.182
32,401,0.003,0.185
33,401,0.004,0.189
34,401,0.004,0.193
35,401,0.002,0.195
36,401,0.010,0.205
37,401,0.004,0.209
38,401,0.000,0.209
39,401,0.012,0.221
40,401,0.006,0.227
41,401,0.000,0.227
42,401,0.016,0.243
43,401,0.000,0.243
44,401,0.000,0.243
45,401,0.003,0.246
46,401,0.002,0.248
47,401,0.004,0.252
48,401,0.009,0.261
49,401,0.003,0.264
50,401,0.002,0.266
51,401,0.003,0.269
52,401,0.003,0.272
53,401,0.003,0.275
54,401,0.003,0.278
55,401,0.003,0.281
56,401,0.000,0.281
57,401,0.001,0.282
58,401,0.012,0.294
59,413,0.036,0.330
60,413,0.004,0.334
61,413,0.002,0.336
62,413,0.009,0.345
63,413,0.000,0.345
64,413,0.000,0.345
65,413,0.002,0.347
66,413,0.003,0.350
67,413,0.002,0.352
68,413,0.004,0.356
69,413,0.002,0.358
70,413,0.000,0.358
71,413,0.008,0.366
72,413,0.003,0.369
73,413,0.000,0.369
74,413,0.010,0.379
75,413,0.005,0.384
76,413,0.003,0.387
77,413,0.004,0.391
78,413,0.001,0.392
79,413,0.009,0.401
80,413,0.002,0.403
81,413,0.011,0.414
82,413,0.003,0.417
83,413,0.003,0.420
84,413,0.009,0.429
85,413,0.003,0.432
86,413,0.003,0.435
87,413,0.003,0.438
88,413,0.000,0.438
89,413,0.010,0.448
90,413,0.004,0.452
91,413,0.004,0.456
92,413,0.000,0.456
93,413,0.015,0.471
94,413,0.003,0.474
95,413,0.012,0.486
96,413,0.005,0.491
97,413,0.005,0.496
98,413,0.001,0.497
99,413,0.010,0.507
100,413,0.008,0.515
101,413,0.005,0.520
102,413,0.000,0.520
103,413,0.004,0.524
104,413,0.011,0.535
105,413,0.002,0.537
106,413,0.012,0.549
107,413,0.000,0.549
108,413,0.004,0.553
109,413,0.006,0.559
110,413,0.001,0.560
111,413,0.008,0.568
112,413,0.001,0.569
113,413,0.009,0.578
114,413,0.004,0.582
115,413,0.002,0.584
116,413,0.006,0.590
117,413,0.000,0.590
118,418,0.014,0.604
119,418,0.000,0.604
120,418,0.009,0.613
121,418,0.003,0.616
122,418,0.001,0.617
123,418,0.007,0.624
124,418,0.004,0.628
125,418,0.003,0.631
126,418,0.001,0.632
127,418,0.006,0.638
128,418,0.001,0.639
129,418,0.008,0.647
130,418,0.002,0.649
131,418,0.007,0.656
132,418,0.003,0.659
133,418,0.006,0.665
134,419,0.002,0.667
135,419,0.000,0.667
136,419,0.007,0.674
137,419,0.000,0.674
138,419,0.006,0.680
139,419,0.001,0.681
140,419,0.008,0.689
141,419,0.003,0.692
142,419,0.003,0.695
143,419,0.006,0.701
144,419,0.001,0.702
145,419,0.000,0.702
146,419,0.016,0.718
147,419,0.000,0.718
148,419,0.016,0.734
149,419,0.000,0.734
150,419,0.015,0.749
151,419,0.000,0.749
152,419,0.000,0.749
153,419,0.000,0.749
154,419,0.000,0.749
155,419,0.015,0.764
156,419,0.005,0.769
157,419,0.002,0.771
158,419,0.002,0.773
159,419,0.000,0.773
160,419,0.000,0.773
161,419,0.011,0.784
162,419,0.002,0.786
163,419,0.003,0.789
164,419,0.002,0.791
165,419,0.003,0.794
166,419,0.003,0.797
167,419,0.004,0.801
168,419,0.002,0.803
169,419,0.004,0.807
170,419,0.001,0.808
171,419,0.000,0.808
172,419,0.009,0.817
173,419,0.000,0.817
174,419,0.008,0.825
175,419,0.002,0.827
176,419,0.003,0.830
177,419,0.003,0.833
178,419,0.002,0.835
179,419,0.005,0.840
180,419,0.005,0.845
181,419,0.002,0.847
182,419,0.007,0.854
183,419,0.002,0.856
184,419,0.002,0.858
185,419,0.007,0.865
186,419,0.002,0.867
187,419,0.008,0.875
188,419,0.000,0.875
189,419,0.007,0.882
190,419,0.002,0.884
191,419,0.005,0.889
192,419,0.004,0.893
193,419,0.003,0.896
194,419,0.001,0.897
195,419,0.007,0.904
196,419,0.002,0.906
197,419,0.007,0.913
198,419,0.001,0.914
199,419,0.007,0.921
200,419,0.000,0.921
201,419,0.008,0.929
202,419,0.003,0.932
203,419,0.006,0.938
204,419,0.001,0.939
205,419,0.006,0.945
206,419,0.004,0.949
207,419,0.006,0.955
208,419,0.000,0.955
209,419,0.000,0.955
210,419,0.003,0.958
211,419,0.001,0.959
212,419,0.000,0.959
213,419,0.011,0.970
214,419,0.003,0.973
215,419,0.000,0.973
216,419,0.009,0.982
217,419,0.002,0.984
218,419,0.000,0.984
219,419,0.007,0.991
220,419,0.000,0.991
221,419,0.000,0.991
222,419,0.012,1.003
223,419,0.001,1.004
224,419,0.000,1.004
225,419,0.000,1.004
226,419,0.012,1.016
227,419,0.002,1.018
228,419,0.002,1.020
229,419,0.003,1.023
230,419,0.002,1.025
231,419,0.004,1.029
232,419,0.000,1.029
233,419,0.000,1.029
234,419,0.011,1.040
235,419,0.002,1.042
236,419,0.004,1.046
237,419,0.002,1.048
238,419,0.004,1.052
239,419,0.002,1.054
240,419,0.000,1.054
241,419,0.007,1.061
242,419,0.002,1.063
243,419,0.004,1.067
244,419,0.000,1.067
245,419,0.000,1.067
246,419,0.009,1.076
247,419,0.002,1.078
248,419,0.000,1.078
249,419,0.008,1.086
250,419,0.001,1.087
251,419,0.005,1.092
252,419,0.001,1.093
253,419,0.007,1.100
254,419,0.001,1.101
255,419,0.000,1.101
256,419,0.011,1.112
257,419,0.002,1.114
258,419,0.003,1.117
259,419,0.002,1.119
260,419,0.002,1.121
261,419,0.004,1.125
262,419,0.003,1.128
263,419,0.000,1.128
264,419,0.010,1.138
265,419,0.002,1.140
266,419,0.002,1.142
267,419,0.001,1.143
268,419,0.005,1.148
269,419,0.001,1.149
270,419,0.000,1.149
271,419,0.000,1.149
272,419,0.012,1.161
273,419,0.003,1.164
274,419,0.002,1.166
275,419,0.003,1.169
276,419,0.002,1.171
277,419,0.004,1.175
278,419,0.001,1.176
279,419,0.000,1.176
280,419,0.009,1.185
281,419,0.002,1.187
282,443,0.002,1.189
283,443,0.001,1.190
284,443,0.000,1.190
285,443,0.009,1.199
286,443,0.002,1.201
287,443,0.000,1.201
288,443,0.008,1.209
289,443,0.001,1.210
290,443,0.003,1.213
291,443,0.002,1.215
292,443,0.004,1.219
293,443,0.001,1.220
294,443,0.004,1.224
295,443,0.002,1.226
296,443,0.004,1.230
297,443,0.001,1.231
298,443,0.005,1.236
299,443,0.002,1.238
300,443,0.000,1.238
301,443,0.008,1.246
302,443,0.001,1.247
303,443,0.000,1.247
304,443,0.009,1.256
305,443,0.001,1.257
306,443,0.003,1.260
307,443,0.002,1.262
308,443,0.000,1.262
309,443,0.008,1.270
310,443,0.002,1.272
311,443,0.000,1.272
312,443,0.009,1.281
313,443,0.001,1.282
314,443,0.004,1.286
315,443,0.001,1.287
316,443,0.006,1.293
317,443,0.002,1.295
318,443,0.002,1.297
319,443,0.000,1.297
320,443,0.006,1.303
321,443,0.002,1.305
322,443,0.000,1.305
323,443,0.009,1.314
324,443,0.001,1.315
325,443,0.000,1.315
326,443,0.000,1.315
327,443,0.012,1.327
328,443,0.002,1.329
329,443,0.004,1.333
330,443,0.001,1.334
331,443,0.000,1.334
332,443,0.000,1.334
333,443,0.013,1.347
334,443,0.002,1.349
335,443,0.006,1.355
336,443,0.001,1.356
337,443,0.006,1.362
338,443,0.000,1.362
339,443,0.000,1.362
340,443,0.008,1.370
341,443,0.000,1.370
342,443,0.001,1.371
343,443,0.000,1.371
344,443,0.001,1.372
345,443,0.008,1.380
346,443,0.000,1.380
347,443,0.003,1.383
348,443,0.005,1.388
349,443,0.000,1.388
350,443,0.001,1.389
351,443,0.001,1.390
352,443,0.000,1.390
353,443,0.000,1.390
354,443,0.000,1.390
355,443,0.000,1.390
356,443,0.016,1.406
357,443,0.000,1.406
358,443,0.000,1.406
359,443,0.002,1.408
360,443,0.045,1.453
361,443,0.003,1.456
362,443,0.002,1.458
363,443,0.003,1.461
364,443,0.002,1.463
365,443,0.004,1.467
366,443,0.002,1.469
367,443,0.002,1.471
368,443,0.005,1.476
369,443,0.003,1.479
370,443,0.001,1.480
371,443,0.000,1.480
372,443,0.006,1.486
373,443,0.002,1.488
374,443,0.006,1.494
375,443,0.003,1.497
376,443,0.002,1.499
377,443,0.004,1.503
378,443,0.002,1.505
379,443,0.004,1.509
380,443,0.002,1.511
381,443,0.003,1.514
382,443,0.000,1.514
383,443,0.010,1.524
384,443,0.002,1.526
385,443,0.002,1.528
386,443,0.003,1.531
387,443,0.001,1.532
388,443,0.001,1.533
389,443,0.000,1.533
390,443,0.002,1.535
391,443,0.003,1.538
392,443,0.001,1.539
393,443,0.007,1.546
394,443,0.003,1.549
395,443,0.003,1.552
396,443,0.000,1.552
397,443,0.002,1.554
398,443,0.000,1.554
399,443,0.000,1.554
400,443,0.003,1.557
401,443,0.000,1.557
402,443,0.000,1.557
403,443,0.000,1.557
404,443,0.009,1.566
405,443,0.000,1.566
406,443,0.000,1.566
407,443,0.000,1.566
408,443,0.010,1.576
409,443,0.002,1.578
410,443,0.003,1.581
411,443,0.001,1.582
412,443,0.002,1.584
413,443,0.002,1.586
414,443,0.005,1.591
415,443,0.002,1.593
416,443,0.004,1.597
417,443,0.002,1.599
418,443,0.003,1.602
419,443,0.001,1.603
420,443,0.003,1.606
421,443,0.002,1.608
422,443,0.004,1.612
423,443,0.002,1.614
424,443,0.003,1.617
425,443,0.004,1.621
426,443,0.005,1.626
427,443,0.002,1.628
428,443,0.003,1.631
429,443,0.003,1.634
430,443,0.000,1.634
431,443,0.002,1.636
432,443,0.003,1.639
433,443,0.002,1.641
434,443,0.002,1.643
435,443,0.001,1.644
436,443,0.000,1.644
437,443,0.005,1.649
438,443,0.002,1.651
439,443,0.003,1.654
440,443,0.002,1.656
441,443,0.000,1.656
442,443,0.009,1.665
443,443,0.000,1.665
444,443,0.000,1.665
445,443,0.009,1.674
446,443,0.001,1.675
447,443,0.003,1.678
448,443,0.002,1.680
449,443,0.003,1.683
450,443,0.001,1.684
451,443,0.004,1.688
452,448,0.001,1.689
453,448,0.003,1.692
454,448,0.001,1.693
455,448,0.006,1.699
456,448,0.002,1.701
457,448,0.003,1.704
458,448,0.001,1.705
459,448,0.002,1.707
460,448,0.002,1.709
461,448,0.002,1.711
462,448,0.002,1.713
463,448,0.004,1.717
464,448,0.000,1.717
465,448,0.000,1.717
466,448,0.014,1.731
467,448,0.003,1.734
468,448,0.007,1.741
469,448,0.001,1.742
470,448,0.003,1.745
471,448,0.005,1.750
472,448,0.000,1.750
473,448,0.002,1.752
474,448,0.001,1.753
475,448,0.000,1.753
476,448,0.002,1.755
477,448,0.005,1.760
478,448,0.005,1.765
479,448,0.002,1.767
480,448,0.004,1.771
481,448,0.002,1.773
482,448,0.000,1.773
483,448,0.009,1.782
484,448,0.002,1.784
485,448,0.002,1.786
486,448,0.000,1.786
487,448,0.003,1.789
488,448,0.005,1.794
489,448,0.001,1.795
490,448,0.004,1.799
491,448,0.001,1.800
492,448,0.002,1.802
493,448,0.001,1.803
494,448,0.004,1.807
495,448,0.001,1.808
496,448,0.003,1.811
497,448,0.002,1.813
498,448,0.003,1.816
499,448,0.003,1.819
500,448,0.002,1.821
501,448,0.002,1.823
502,448,0.005,1.828
503,448,0.001,1.829
504,448,0.000,1.829
505,448,0.000,1.829
506,448,0.012,1.841
507,448,0.002,1.843
508,448,0.004,1.847
509,448,0.001,1.848
510,448,0.003,1.851
511,448,0.002,1.853
512,448,0.004,1.857
513,448,0.002,1.859
514,448,0.003,1.862
515,448,0.001,1.863
516,448,0.007,1.870
517,448,0.002,1.872
518,448,0.003,1.875
519,448,0.003,1.878
520,448,0.000,1.878
521,448,0.008,1.886
522,448,0.003,1.889
523,448,0.000,1.889
524,448,0.011,1.900
525,448,0.000,1.900
526,448,0.010,1.910
527,448,0.007,1.917
528,448,0.000,1.917
529,448,0.008,1.925
530,448,0.000,1.925
531,448,0.000,1.925
532,448,0.007,1.932
533,448,0.001,1.933
534,448,0.000,1.933
535,448,0.000,1.933
536,448,0.010,1.943
537,448,0.000,1.943
538,448,0.000,1.943
539,448,0.000,1.943
540,448,0.010,1.953
541,448,0.005,1.958
542,448,0.000,1.958
543,448,0.008,1.966
544,448,0.000,1.966
545,448,0.000,1.966
546,448,0.000,1.966
547,448,0.011,1.977
548,448,0.000,1.977
549,448,0.000,1.977
550,448,0.000,1.977
551,448,0.003,1.980
552,448,0.003,1.983
553,448,0.000,1.983
554,448,0.003,1.986
555,448,0.004,1.990
556,448,0.000,1.990
557,448,0.007,1.997
558,448,0.002,1.999
559,448,0.005,2.004
560,448,0.000,2.004
561,448,0.008,2.012
562,448,0.001,2.013
563,448,0.006,2.019
564,448,0.000,2.019
565,448,0.002,2.021
566,448,0.000,2.021
567,448,0.002,2.023
568,448,0.002,2.025
569,448,0.002,2.027
570,448,0.001,2.028
571,448,0.005,2.033
572,448,0.001,2.034
573,448,0.003,2.037
574,448,0.002,2.039
575,448,0.000,2.039
576,448,0.000,2.039
577,448,0.012,2.051
578,448,0.001,2.052
579,448,0.001,2.053
580,448,0.003,2.056
581,448,0.002,2.058
582,448,0.002,2.060
583,448,0.001,2.061
584,448,0.000,2.061
585,448,0.000,2.061
586,448,0.012,2.073
587,448,0.002,2.075
588,448,0.000,2.075
589,448,0.007,2.082
590,448,0.001,2.083
591,448,0.003,2.086
592,448,0.001,2.087
593,448,0.003,2.090
594,448,0.002,2.092
595,448,0.003,2.095
596,448,0.001,2.096
597,448,0.000,2.096
598,448,0.000,2.096
599,448,0.012,2.108
600,448,0.002,2.110
601,448,0.000,2.110
602,448,0.008,2.118
603,448,0.000,2.118
604,448,0.041,2.159
605,448,0.000,2.159
606,448,0.000,2.159
607,448,0.017,2.176
608,448,0.000,2.176
609,448,0.000,2.176
610,448,0.016,2.192
611,448,0.000,2.192
612,448,0.000,2.192
613,448,0.001,2.193
614,448,0.001,2.194
