Generation,Best,Time,Total_Time
0,419,0.047,0.047
1,419,0.009,0.056
2,419,0.008,0.064
3,419,0.003,0.067
4,419,0.003,0.070
5,419,0.004,0.074
6,419,0.004,0.078
7,419,0.003,0.081
8,419,0.004,0.085
9,419,0.003,0.088
10,419,0.002,0.090
11,419,0.003,0.093
12,419,0.006,0.099
13,419,0.003,0.102
14,419,0.003,0.105
15,419,0.003,0.108
16,419,0.003,0.111
17,419,0.003,0.114
18,419,0.004,0.118
19,419,0.003,0.121
20,419,0.002,0.123
21,419,0.005,0.128
22,419,0.003,0.131
23,419,0.002,0.133
24,419,0.003,0.136
25,419,0.004,0.140
26,419,0.003,0.143
27,419,0.002,0.145
28,419,0.001,0.146
29,419,0.002,0.148
30,419,0.004,0.152
31,419,0.003,0.155
32,419,0.004,0.159
33,419,0.003,0.162
34,419,0.003,0.165
35,419,0.002,0.167
36,419,0.003,0.170
37,419,0.004,0.174
38,419,0.003,0.177
39,419,0.002,0.179
40,419,0.003,0.182
41,419,0.003,0.185
42,419,0.003,0.188
43,419,0.002,0.190
44,419,0.003,0.193
45,419,0.003,0.196
46,419,0.003,0.199
47,419,0.004,0.203
48,419,0.003,0.206
49,419,0.003,0.209
50,419,0.003,0.212
51,419,0.002,0.214
52,419,0.004,0.218
53,419,0.002,0.220
54,419,0.007,0.227
55,419,0.000,0.227
56,419,0.003,0.230
57,419,0.000,0.230
58,419,0.000,0.230
59,419,0.000,0.230
60,419,0.015,0.245
61,419,0.002,0.247
62,419,0.002,0.249
63,419,0.003,0.252
64,419,0.003,0.255
65,419,0.003,0.258
66,419,0.003,0.261
67,419,0.003,0.264
68,419,0.002,0.266
69,419,0.004,0.270
70,419,0.002,0.272
71,419,0.003,0.275
72,419,0.000,0.275
73,419,0.003,0.278
74,419,0.001,0.279
75,419,0.007,0.286
76,419,0.003,0.289
77,419,0.000,0.289
78,419,0.003,0.292
79,419,0.004,0.296
80,419,0.003,0.299
81,419,0.041,0.340
82,419,0.003,0.343
83,419,0.003,0.346
84,419,0.006,0.352
85,419,0.004,0.356
86,419,0.004,0.360
87,419,0.002,0.362
88,419,0.003,0.365
89,419,0.004,0.369
90,419,0.003,0.372
91,419,0.003,0.375
92,419,0.002,0.377
93,419,0.002,0.379
94,419,0.001,0.380
95,419,0.002,0.382
96,419,0.004,0.386
97,419,0.004,0.390
98,419,0.003,0.393
99,419,0.004,0.397
100,419,0.003,0.400
101,419,0.003,0.403
102,419,0.002,0.405
103,419,0.004,0.409
104,419,0.003,0.412
105,419,0.003,0.415
106,419,0.003,0.418
107,419,0.004,0.422
108,419,0.003,0.425
109,419,0.002,0.427
110,419,0.003,0.430
111,419,0.003,0.433
112,419,0.005,0.438
113,419,0.005,0.443
114,419,0.003,0.446
115,419,0.003,0.449
116,419,0.006,0.455
117,419,0.000,0.455
118,419,0.003,0.458
119,419,0.005,0.463
120,419,0.007,0.470
121,419,0.002,0.472
122,419,0.003,0.475
123,419,0.003,0.478
124,419,0.003,0.481
125,419,0.004,0.485
126,419,0.003,0.488
127,419,0.004,0.492
128,419,0.002,0.494
129,419,0.003,0.497
130,419,0.003,0.500
131,419,0.002,0.502
132,419,0.004,0.506
133,419,0.004,0.510
134,419,0.003,0.513
135,419,0.005,0.518
136,419,0.002,0.520
137,419,0.003,0.523
138,419,0.002,0.525
139,419,0.002,0.527
140,419,0.002,0.529
141,419,0.002,0.531
142,419,0.003,0.534
143,419,0.002,0.536
144,419,0.003,0.539
145,419,0.002,0.541
146,419,0.002,0.543
147,419,0.003,0.546
148,419,0.003,0.549
149,419,0.003,0.552
150,419,0.005,0.557
151,419,0.002,0.559
152,419,0.002,0.561
153,419,0.003,0.564
154,419,0.003,0.567
