Maximum fit for each generation: 
Best fit for generation 0: 386
Best fit for generation 1: 386
Best fit for generation 2: 386
Best fit for generation 3: 386
Best fit for generation 4: 386
Best fit for generation 5: 386
Best fit for generation 6: 386
Best fit for generation 7: 386
Best fit for generation 8: 386
Best fit for generation 9: 386
Best fit for generation 10: 386
Best fit for generation 11: 386
Best fit for generation 12: 386
Best fit for generation 13: 386
Best fit for generation 14: 386
Best fit for generation 15: 386
Best fit for generation 16: 386
Best fit for generation 17: 386
Best fit for generation 18: 386
Best fit for generation 19: 386
Best fit for generation 20: 386
Best fit for generation 21: 386
Best fit for generation 22: 386
Best fit for generation 23: 386
Best fit for generation 24: 386
Best fit for generation 25: 389
Best fit for generation 26: 389
Best fit for generation 27: 389
Best fit for generation 28: 389
Best fit for generation 29: 389
Best fit for generation 30: 389
Best fit for generation 31: 389
Best fit for generation 32: 389
Best fit for generation 33: 389
Best fit for generation 34: 389
Best fit for generation 35: 389
Best fit for generation 36: 389
Best fit for generation 37: 389
Best fit for generation 38: 389
Best fit for generation 39: 389
Best fit for generation 40: 389
Best fit for generation 41: 389
Best fit for generation 42: 389
Best fit for generation 43: 389
Best fit for generation 44: 389
Best fit for generation 45: 389
Best fit for generation 46: 389
Best fit for generation 47: 389
Best fit for generation 48: 389
Best fit for generation 49: 389
Best fit for generation 50: 389
Best fit for generation 51: 389
Best fit for generation 52: 389
Best fit for generation 53: 389
Best fit for generation 54: 389
Best fit for generation 55: 389
Best fit for generation 56: 389
Best fit for generation 57: 389
Best fit for generation 58: 389
Best fit for generation 59: 389
Best fit for generation 60: 389
Best fit for generation 61: 389
Best fit for generation 62: 389
Best fit for generation 63: 389
Best fit for generation 64: 389
Best fit for generation 65: 389
Best fit for generation 66: 389
Best fit for generation 67: 426
Best fit for generation 68: 426
Best fit for generation 69: 426
Best fit for generation 70: 426
Best fit for generation 71: 426
Best fit for generation 72: 426
Best fit for generation 73: 426
Best fit for generation 74: 426
Best fit for generation 75: 426
Best fit for generation 76: 426
Best fit for generation 77: 426
Best fit for generation 78: 426
Best fit for generation 79: 426
Best fit for generation 80: 426
Best fit for generation 81: 426
Best fit for generation 82: 426
Best fit for generation 83: 426
Best fit for generation 84: 426
Best fit for generation 85: 426
Best fit for generation 86: 426
Best fit for generation 87: 426
Best fit for generation 88: 426
Best fit for generation 89: 426
Best fit for generation 90: 426
Best fit for generation 91: 426
Best fit for generation 92: 426
Best fit for generation 93: 426
Best fit for generation 94: 426
Best fit for generation 95: 426
Best fit for generation 96: 426
Best fit for generation 97: 426
Best fit for generation 98: 426
Best fit for generation 99: 426
Best fit for generation 100: 426
Best fit for generation 101: 426
Best fit for generation 102: 426
Best fit for generation 103: 426
Best fit for generation 104: 426
Best fit for generation 105: 426
Best fit for generation 106: 426
Best fit for generation 107: 426
Best fit for generation 108: 426
Best fit for generation 109: 426
Best fit for generation 110: 426
Best fit for generation 111: 426
Best fit for generation 112: 426
Best fit for generation 113: 426
Best fit for generation 114: 426
Best fit for generation 115: 426
Best fit for generation 116: 426
Best fit for generation 117: 426
Best fit for generation 118: 426
Best fit for generation 119: 426
Best fit for generation 120: 426
Best fit for generation 121: 426
Best fit for generation 122: 426
Best fit for generation 123: 426
Best fit for generation 124: 426
