Maximum fit for each generation: 
Best fit for generation 0: 437.0
Best fit for generation 1: 437.0
Best fit for generation 2: 439.0
Best fit for generation 3: 455.0
Best fit for generation 4: 455.0
Best fit for generation 5: 477.0
Best fit for generation 6: 477.0
Best fit for generation 7: 477.0
Best fit for generation 8: 477.0
Best fit for generation 9: 477.0
Best fit for generation 10: 477.0
Best fit for generation 11: 477.0
Best fit for generation 12: 477.0
Best fit for generation 13: 477.0
Best fit for generation 14: 477.0
Best fit for generation 15: 477.0
Best fit for generation 16: 477.0
Best fit for generation 17: 479.0
Best fit for generation 18: 479.0
Best fit for generation 19: 479.0
Best fit for generation 20: 479.0
Best fit for generation 21: 479.0
Best fit for generation 22: 479.0
Best fit for generation 23: 479.0
Best fit for generation 24: 503.0
Best fit for generation 25: 503.0
Best fit for generation 26: 503.0
Best fit for generation 27: 503.0
Best fit for generation 28: 503.0
Best fit for generation 29: 503.0
Best fit for generation 30: 512.0
Best fit for generation 31: 512.0
Best fit for generation 32: 512.0
Best fit for generation 33: 512.0
Best fit for generation 34: 512.0
Best fit for generation 35: 512.0
Best fit for generation 36: 512.0
Best fit for generation 37: 514.0
Best fit for generation 38: 514.0
Best fit for generation 39: 518.0
Best fit for generation 40: 518.0
Best fit for generation 41: 518.0
Best fit for generation 42: 518.0
Best fit for generation 43: 518.0
Best fit for generation 44: 518.0
Best fit for generation 45: 518.0
Best fit for generation 46: 518.0
Best fit for generation 47: 518.0
Best fit for generation 48: 518.0
Best fit for generation 49: 518.0
Best fit for generation 50: 518.0
Best fit for generation 51: 518.0
Best fit for generation 52: 518.0
Best fit for generation 53: 518.0
Best fit for generation 54: 518.0
Best fit for generation 55: 518.0
Best fit for generation 56: 518.0
Best fit for generation 57: 518.0
Best fit for generation 58: 518.0
Best fit for generation 59: 518.0
Best fit for generation 60: 519.0
Best fit for generation 61: 519.0
Best fit for generation 62: 519.0
Best fit for generation 63: 519.0
Best fit for generation 64: 519.0
Best fit for generation 65: 519.0
Best fit for generation 66: 519.0
Best fit for generation 67: 519.0
Best fit for generation 68: 519.0
Best fit for generation 69: 519.0
Best fit for generation 70: 519.0
Best fit for generation 71: 519.0
Best fit for generation 72: 519.0
Best fit for generation 73: 519.0
Best fit for generation 74: 519.0
Best fit for generation 75: 519.0
Best fit for generation 76: 519.0
Best fit for generation 77: 520.0
Best fit for generation 78: 520.0
Best fit for generation 79: 520.0
Best fit for generation 80: 520.0
Best fit for generation 81: 546.0
Best fit for generation 82: 546.0
Best fit for generation 83: 546.0
Best fit for generation 84: 555.0
Best fit for generation 85: 555.0
Best fit for generation 86: 555.0
Best fit for generation 87: 555.0
Best fit for generation 88: 555.0
Best fit for generation 89: 555.0
Best fit for generation 90: 555.0
Best fit for generation 91: 555.0
Best fit for generation 92: 555.0
Best fit for generation 93: 555.0
Best fit for generation 94: 555.0
Best fit for generation 95: 555.0
Best fit for generation 96: 555.0
Best fit for generation 97: 555.0
Best fit for generation 98: 555.0
Best fit for generation 99: 555.0
Best fit for generation 100: 555.0
Best fit for generation 101: 555.0
Best fit for generation 102: 555.0
Best fit for generation 103: 555.0
Best fit for generation 104: 555.0
Best fit for generation 105: 555.0
Best fit for generation 106: 555.0
Best fit for generation 107: 555.0
Best fit for generation 108: 555.0
Best fit for generation 109: 555.0
Best fit for generation 110: 555.0
Best fit for generation 111: 555.0
Best fit for generation 112: 555.0
Best fit for generation 113: 555.0
Best fit for generation 114: 555.0
Best fit for generation 115: 555.0
Best fit for generation 116: 555.0
Best fit for generation 117: 555.0
Best fit for generation 118: 555.0
Best fit for generation 119: 555.0
Best fit for generation 120: 555.0
Best fit for generation 121: 555.0
Best fit for generation 122: 555.0
Best fit for generation 123: 555.0
Best fit for generation 124: 555.0
Best fit for generation 125: 555.0
Best fit for generation 126: 555.0
Best fit for generation 127: 555.0
Best fit for generation 128: 555.0
Best fit for generation 129: 555.0
Best fit for generation 130: 555.0
Best fit for generation 131: 555.0
Best fit for generation 132: 555.0
Best fit for generation 133: 555.0
Best fit for generation 134: 555.0
Best fit for generation 135: 555.0
Best fit for generation 136: 555.0
Best fit for generation 137: 555.0
Best fit for generation 138: 555.0
Best fit for generation 139: 555.0
Best fit for generation 140: 555.0
Best fit for generation 141: 555.0
Best fit for generation 142: 555.0
Best fit for generation 143: 555.0
Best fit for generation 144: 555.0
Best fit for generation 145: 555.0
Best fit for generation 146: 555.0
Best fit for generation 147: 555.0
Best fit for generation 148: 555.0
Best fit for generation 149: 555.0
Best fit for generation 150: 555.0
Best fit for generation 151: 555.0
Best fit for generation 152: 555.0
Best fit for generation 153: 555.0
Best fit for generation 154: 555.0
Best fit for generation 155: 555.0
Best fit for generation 156: 555.0
Best fit for generation 157: 555.0
Best fit for generation 158: 556.0
Best fit for generation 159: 556.0
Best fit for generation 160: 556.0
Best fit for generation 161: 556.0
Best fit for generation 162: 556.0
Best fit for generation 163: 556.0
Best fit for generation 164: 556.0
Best fit for generation 165: 556.0
Best fit for generation 166: 556.0
Best fit for generation 167: 556.0
Best fit for generation 168: 556.0
Best fit for generation 169: 556.0
Best fit for generation 170: 556.0
Best fit for generation 171: 556.0
Best fit for generation 172: 556.0
Best fit for generation 173: 556.0
Best fit for generation 174: 556.0
Best fit for generation 175: 556.0
Best fit for generation 176: 556.0
Best fit for generation 177: 556.0
Best fit for generation 178: 556.0
Best fit for generation 179: 556.0
Best fit for generation 180: 556.0
Best fit for generation 181: 556.0
Best fit for generation 182: 556.0
Best fit for generation 183: 556.0
Best fit for generation 184: 556.0
Best fit for generation 185: 556.0
Best fit for generation 186: 556.0
Best fit for generation 187: 556.0
Best fit for generation 188: 556.0
Best fit for generation 189: 556.0
Best fit for generation 190: 556.0
Best fit for generation 191: 556.0
Best fit for generation 192: 556.0
Best fit for generation 193: 556.0
Best fit for generation 194: 556.0
Best fit for generation 195: 556.0
Best fit for generation 196: 556.0
Best fit for generation 197: 556.0
Best fit for generation 198: 556.0
Best fit for generation 199: 556.0
Best fit for generation 200: 556.0
Best fit for generation 201: 556.0
Best fit for generation 202: 556.0
Best fit for generation 203: 556.0
Best fit for generation 204: 556.0
Best fit for generation 205: 556.0
Best fit for generation 206: 556.0
Best fit for generation 207: 556.0
Best fit for generation 208: 556.0
Best fit for generation 209: 556.0
Best fit for generation 210: 556.0
Best fit for generation 211: 556.0
Best fit for generation 212: 556.0
Best fit for generation 213: 556.0
Best fit for generation 214: 556.0
Best fit for generation 215: 556.0
Best fit for generation 216: 556.0
Best fit for generation 217: 556.0
Best fit for generation 218: 556.0
Best fit for generation 219: 556.0
Best fit for generation 220: 556.0
Best fit for generation 221: 556.0
Best fit for generation 222: 556.0
Best fit for generation 223: 556.0
Best fit for generation 224: 556.0
Best fit for generation 225: 556.0
Best fit for generation 226: 556.0
Best fit for generation 227: 556.0
Best fit for generation 228: 556.0
Best fit for generation 229: 556.0
Best fit for generation 230: 557.0
Best fit for generation 231: 557.0
Best fit for generation 232: 557.0
Best fit for generation 233: 557.0
Best fit for generation 234: 557.0
Best fit for generation 235: 557.0
Best fit for generation 236: 557.0
Best fit for generation 237: 557.0
Best fit for generation 238: 557.0
Best fit for generation 239: 557.0
Best fit for generation 240: 557.0
Best fit for generation 241: 557.0
Best fit for generation 242: 557.0
Best fit for generation 243: 557.0
Best fit for generation 244: 557.0
Best fit for generation 245: 557.0
Best fit for generation 246: 557.0
Best fit for generation 247: 557.0
Best fit for generation 248: 557.0
Best fit for generation 249: 557.0
Best fit for generation 250: 557.0
Best fit for generation 251: 557.0
Best fit for generation 252: 557.0
Best fit for generation 253: 557.0
Best fit for generation 254: 557.0
Best fit for generation 255: 557.0
Best fit for generation 256: 557.0
Best fit for generation 257: 557.0
Best fit for generation 258: 557.0
Best fit for generation 259: 557.0
Best fit for generation 260: 557.0
Best fit for generation 261: 557.0
Best fit for generation 262: 557.0
Best fit for generation 263: 557.0
Best fit for generation 264: 557.0
Best fit for generation 265: 557.0
Best fit for generation 266: 557.0
Best fit for generation 267: 557.0
Best fit for generation 268: 557.0
Best fit for generation 269: 557.0
Best fit for generation 270: 557.0
Best fit for generation 271: 557.0
Best fit for generation 272: 558.0
Best fit for generation 273: 558.0
Best fit for generation 274: 559.0
Best fit for generation 275: 559.0
Best fit for generation 276: 559.0
Best fit for generation 277: 559.0
Best fit for generation 278: 559.0
Best fit for generation 279: 559.0
Best fit for generation 280: 559.0
Best fit for generation 281: 559.0
Best fit for generation 282: 559.0
Best fit for generation 283: 559.0
Best fit for generation 284: 559.0
Best fit for generation 285: 559.0
Best fit for generation 286: 559.0
Best fit for generation 287: 559.0
Best fit for generation 288: 559.0
Best fit for generation 289: 559.0
Best fit for generation 290: 559.0
Best fit for generation 291: 559.0
Best fit for generation 292: 559.0
Best fit for generation 293: 559.0
Best fit for generation 294: 559.0
Best fit for generation 295: 559.0
Best fit for generation 296: 559.0
Best fit for generation 297: 559.0
Best fit for generation 298: 559.0
Best fit for generation 299: 559.0
Best fit for generation 300: 559.0
Best fit for generation 301: 559.0
Best fit for generation 302: 559.0
Best fit for generation 303: 559.0
Best fit for generation 304: 559.0
Best fit for generation 305: 559.0
Best fit for generation 306: 559.0
Best fit for generation 307: 559.0
Best fit for generation 308: 559.0
Best fit for generation 309: 559.0
Best fit for generation 310: 559.0
Best fit for generation 311: 559.0
Best fit for generation 312: 559.0
Best fit for generation 313: 559.0
Best fit for generation 314: 559.0
Best fit for generation 315: 559.0
Best fit for generation 316: 559.0
Best fit for generation 317: 559.0
Best fit for generation 318: 559.0
Best fit for generation 319: 559.0
Best fit for generation 320: 559.0
Best fit for generation 321: 559.0
Best fit for generation 322: 559.0
Best fit for generation 323: 559.0
Best fit for generation 324: 559.0
Best fit for generation 325: 559.0
Best fit for generation 326: 559.0
Best fit for generation 327: 559.0
Best fit for generation 328: 559.0
Best fit for generation 329: 559.0
Best fit for generation 330: 559.0
Best fit for generation 331: 559.0
Best fit for generation 332: 559.0
Best fit for generation 333: 559.0
Best fit for generation 334: 559.0
Best fit for generation 335: 560.0
Best fit for generation 336: 560.0
Best fit for generation 337: 560.0
Best fit for generation 338: 560.0
Best fit for generation 339: 560.0
Best fit for generation 340: 560.0
Best fit for generation 341: 560.0
Best fit for generation 342: 560.0
Best fit for generation 343: 560.0
Best fit for generation 344: 560.0
Best fit for generation 345: 560.0
Best fit for generation 346: 560.0
Best fit for generation 347: 560.0
Best fit for generation 348: 560.0
Best fit for generation 349: 560.0
Best fit for generation 350: 560.0
Best fit for generation 351: 560.0
Best fit for generation 352: 560.0
Best fit for generation 353: 560.0
Best fit for generation 354: 560.0
Best fit for generation 355: 560.0
Best fit for generation 356: 560.0
Best fit for generation 357: 560.0
Best fit for generation 358: 560.0
Best fit for generation 359: 560.0
Best fit for generation 360: 560.0
Best fit for generation 361: 560.0
Best fit for generation 362: 560.0
Best fit for generation 363: 560.0
Best fit for generation 364: 560.0
Best fit for generation 365: 560.0
Best fit for generation 366: 560.0
Best fit for generation 367: 560.0
Best fit for generation 368: 560.0
Best fit for generation 369: 560.0
Best fit for generation 370: 560.0
Best fit for generation 371: 560.0
Best fit for generation 372: 560.0
Best fit for generation 373: 560.0
Best fit for generation 374: 560.0
Best fit for generation 375: 560.0
Best fit for generation 376: 560.0
Best fit for generation 377: 560.0
Best fit for generation 378: 560.0
Best fit for generation 379: 560.0
Best fit for generation 380: 560.0
Best fit for generation 381: 560.0
Best fit for generation 382: 560.0
Best fit for generation 383: 560.0
Best fit for generation 384: 560.0
Best fit for generation 385: 560.0
Best fit for generation 386: 560.0
Best fit for generation 387: 560.0
Best fit for generation 388: 560.0
Best fit for generation 389: 560.0
Best fit for generation 390: 560.0
Best fit for generation 391: 560.0
Best fit for generation 392: 560.0
Best fit for generation 393: 560.0
Best fit for generation 394: 560.0
Best fit for generation 395: 560.0
Best fit for generation 396: 560.0
Best fit for generation 397: 560.0
Best fit for generation 398: 560.0
Best fit for generation 399: 560.0
Best fit for generation 400: 560.0
Best fit for generation 401: 560.0
Best fit for generation 402: 560.0
Best fit for generation 403: 560.0
Best fit for generation 404: 560.0
Best fit for generation 405: 560.0
Best fit for generation 406: 560.0
Best fit for generation 407: 560.0
Best fit for generation 408: 560.0
Best fit for generation 409: 560.0
Best fit for generation 410: 560.0
Best fit for generation 411: 560.0
Best fit for generation 412: 560.0
Best fit for generation 413: 560.0
Best fit for generation 414: 560.0
Best fit for generation 415: 560.0
Best fit for generation 416: 560.0
Best fit for generation 417: 560.0
Best fit for generation 418: 560.0
Best fit for generation 419: 560.0
Best fit for generation 420: 560.0
Best fit for generation 421: 560.0
Best fit for generation 422: 560.0
Best fit for generation 423: 560.0
Best fit for generation 424: 560.0
Best fit for generation 425: 560.0
Best fit for generation 426: 560.0
Best fit for generation 427: 560.0
Best fit for generation 428: 560.0
Best fit for generation 429: 560.0
Best fit for generation 430: 560.0
Best fit for generation 431: 560.0
Best fit for generation 432: 560.0
Best fit for generation 433: 560.0
Best fit for generation 434: 560.0
Best fit for generation 435: 560.0
Best fit for generation 436: 560.0
Best fit for generation 437: 560.0
Best fit for generation 438: 560.0
Best fit for generation 439: 560.0
Best fit for generation 440: 560.0
Best fit for generation 441: 560.0
Best fit for generation 442: 560.0
Best fit for generation 443: 560.0
Best fit for generation 444: 560.0
Best fit for generation 445: 560.0
Best fit for generation 446: 560.0
Best fit for generation 447: 560.0
Best fit for generation 448: 560.0
Best fit for generation 449: 560.0
Best fit for generation 450: 560.0
Best fit for generation 451: 560.0
Best fit for generation 452: 560.0
Best fit for generation 453: 560.0
Best fit for generation 454: 560.0
Best fit for generation 455: 560.0
Best fit for generation 456: 560.0
Best fit for generation 457: 560.0
Best fit for generation 458: 560.0
Best fit for generation 459: 560.0
Best fit for generation 460: 560.0
Best fit for generation 461: 560.0
Best fit for generation 462: 560.0
Best fit for generation 463: 560.0
Best fit for generation 464: 560.0
Best fit for generation 465: 560.0
Best fit for generation 466: 560.0
Best fit for generation 467: 560.0
Best fit for generation 468: 560.0
Best fit for generation 469: 560.0
Best fit for generation 470: 560.0
Best fit for generation 471: 560.0
Best fit for generation 472: 560.0
Best fit for generation 473: 560.0
Best fit for generation 474: 560.0
Best fit for generation 475: 560.0
Best fit for generation 476: 560.0
Best fit for generation 477: 560.0
Best fit for generation 478: 560.0
Best fit for generation 479: 560.0
Best fit for generation 480: 560.0
Best fit for generation 481: 560.0
Best fit for generation 482: 560.0
Best fit for generation 483: 560.0
Best fit for generation 484: 560.0
Best fit for generation 485: 560.0
Best fit for generation 486: 560.0
Best fit for generation 487: 560.0
Best fit for generation 488: 560.0
Best fit for generation 489: 560.0
Best fit for generation 490: 560.0
Best fit for generation 491: 560.0
Best fit for generation 492: 560.0
Best fit for generation 493: 560.0
Best fit for generation 494: 560.0
Best fit for generation 495: 560.0
Best fit for generation 496: 560.0
Best fit for generation 497: 560.0
Best fit for generation 498: 560.0
Best fit for generation 499: 560.0
Best fit for generation 500: 560.0
