Maximum fit for each generation: 
Best fit for generation 0: 439.0
Best fit for generation 1: 439.0
Best fit for generation 2: 439.0
Best fit for generation 3: 439.0
Best fit for generation 4: 439.0
Best fit for generation 5: 439.0
Best fit for generation 6: 439.0
Best fit for generation 7: 439.0
Best fit for generation 8: 439.0
Best fit for generation 9: 439.0
Best fit for generation 10: 439.0
Best fit for generation 11: 440.0
Best fit for generation 12: 440.0
Best fit for generation 13: 440.0
Best fit for generation 14: 440.0
Best fit for generation 15: 440.0
Best fit for generation 16: 440.0
Best fit for generation 17: 440.0
Best fit for generation 18: 440.0
Best fit for generation 19: 458.0
Best fit for generation 20: 458.0
Best fit for generation 21: 458.0
Best fit for generation 22: 458.0
Best fit for generation 23: 461.0
Best fit for generation 24: 461.0
Best fit for generation 25: 479.0
Best fit for generation 26: 479.0
Best fit for generation 27: 479.0
Best fit for generation 28: 479.0
Best fit for generation 29: 479.0
Best fit for generation 30: 479.0
Best fit for generation 31: 479.0
Best fit for generation 32: 479.0
Best fit for generation 33: 479.0
Best fit for generation 34: 479.0
Best fit for generation 35: 479.0
Best fit for generation 36: 479.0
Best fit for generation 37: 479.0
Best fit for generation 38: 479.0
Best fit for generation 39: 479.0
Best fit for generation 40: 479.0
Best fit for generation 41: 479.0
Best fit for generation 42: 479.0
Best fit for generation 43: 479.0
Best fit for generation 44: 479.0
Best fit for generation 45: 479.0
Best fit for generation 46: 479.0
Best fit for generation 47: 479.0
Best fit for generation 48: 479.0
Best fit for generation 49: 479.0
Best fit for generation 50: 479.0
Best fit for generation 51: 479.0
Best fit for generation 52: 479.0
Best fit for generation 53: 479.0
Best fit for generation 54: 479.0
Best fit for generation 55: 479.0
Best fit for generation 56: 479.0
Best fit for generation 57: 480.0
Best fit for generation 58: 480.0
Best fit for generation 59: 480.0
Best fit for generation 60: 480.0
Best fit for generation 61: 480.0
Best fit for generation 62: 480.0
Best fit for generation 63: 480.0
Best fit for generation 64: 480.0
Best fit for generation 65: 480.0
Best fit for generation 66: 480.0
Best fit for generation 67: 480.0
Best fit for generation 68: 480.0
Best fit for generation 69: 480.0
Best fit for generation 70: 480.0
Best fit for generation 71: 480.0
Best fit for generation 72: 480.0
Best fit for generation 73: 480.0
Best fit for generation 74: 480.0
Best fit for generation 75: 480.0
Best fit for generation 76: 480.0
Best fit for generation 77: 480.0
Best fit for generation 78: 480.0
Best fit for generation 79: 480.0
Best fit for generation 80: 480.0
Best fit for generation 81: 480.0
Best fit for generation 82: 480.0
Best fit for generation 83: 480.0
Best fit for generation 84: 480.0
Best fit for generation 85: 480.0
Best fit for generation 86: 480.0
