Maximum fit for each generation: 
Best fit for generation 0: 518
Best fit for generation 1: 518
Best fit for generation 2: 518
Best fit for generation 3: 518
Best fit for generation 4: 518
Best fit for generation 5: 518
Best fit for generation 6: 518
Best fit for generation 7: 518
Best fit for generation 8: 518
Best fit for generation 9: 518
Best fit for generation 10: 518
Best fit for generation 11: 518
Best fit for generation 12: 518
Best fit for generation 13: 518
Best fit for generation 14: 518
Best fit for generation 15: 518
Best fit for generation 16: 518
Best fit for generation 17: 518
Best fit for generation 18: 518
Best fit for generation 19: 518
Best fit for generation 20: 518
Best fit for generation 21: 518
Best fit for generation 22: 518
Best fit for generation 23: 518
Best fit for generation 24: 518
Best fit for generation 25: 518
Best fit for generation 26: 518
Best fit for generation 27: 518
Best fit for generation 28: 518
Best fit for generation 29: 518
Best fit for generation 30: 518
Best fit for generation 31: 518
Best fit for generation 32: 518
Best fit for generation 33: 518
Best fit for generation 34: 518
Best fit for generation 35: 518
Best fit for generation 36: 518
Best fit for generation 37: 518
Best fit for generation 38: 518
Best fit for generation 39: 518
Best fit for generation 40: 518
Best fit for generation 41: 518
Best fit for generation 42: 518
Best fit for generation 43: 518
Best fit for generation 44: 518
Best fit for generation 45: 518
Best fit for generation 46: 518
Best fit for generation 47: 518
Best fit for generation 48: 518
Best fit for generation 49: 518
Best fit for generation 50: 518
Best fit for generation 51: 518
Best fit for generation 52: 518
Best fit for generation 53: 518
Best fit for generation 54: 518
Best fit for generation 55: 518
Best fit for generation 56: 518
Best fit for generation 57: 518
Best fit for generation 58: 518
Best fit for generation 59: 518
Best fit for generation 60: 518
Best fit for generation 61: 518
Best fit for generation 62: 518
Best fit for generation 63: 518
Best fit for generation 64: 558
Best fit for generation 65: 558
Best fit for generation 66: 558
Best fit for generation 67: 558
Best fit for generation 68: 558
Best fit for generation 69: 558
Best fit for generation 70: 558
Best fit for generation 71: 558
Best fit for generation 72: 558
Best fit for generation 73: 558
Best fit for generation 74: 558
Best fit for generation 75: 558
Best fit for generation 76: 558
Best fit for generation 77: 558
Best fit for generation 78: 558
Best fit for generation 79: 558
Best fit for generation 80: 558
Best fit for generation 81: 558
Best fit for generation 82: 558
Best fit for generation 83: 558
Best fit for generation 84: 558
Best fit for generation 85: 558
Best fit for generation 86: 558
Best fit for generation 87: 558
Best fit for generation 88: 558
Best fit for generation 89: 558
Best fit for generation 90: 558
Best fit for generation 91: 558
Best fit for generation 92: 558
Best fit for generation 93: 558
Best fit for generation 94: 558
Best fit for generation 95: 558
Best fit for generation 96: 558
Best fit for generation 97: 558
Best fit for generation 98: 558
Best fit for generation 99: 558
Best fit for generation 100: 558
Best fit for generation 101: 558
Best fit for generation 102: 558
Best fit for generation 103: 558
Best fit for generation 104: 558
Best fit for generation 105: 558
Best fit for generation 106: 558
Best fit for generation 107: 558
Best fit for generation 108: 558
Best fit for generation 109: 558
Best fit for generation 110: 558
Best fit for generation 111: 558
Best fit for generation 112: 558
Best fit for generation 113: 558
Best fit for generation 114: 558
Best fit for generation 115: 558
Best fit for generation 116: 558
Best fit for generation 117: 558
Best fit for generation 118: 558
Best fit for generation 119: 558
Best fit for generation 120: 558
Best fit for generation 121: 558
Best fit for generation 122: 558
Best fit for generation 123: 558
Best fit for generation 124: 558
Best fit for generation 125: 558
Best fit for generation 126: 558
Best fit for generation 127: 558
Best fit for generation 128: 559
Best fit for generation 129: 559
Best fit for generation 130: 559
Best fit for generation 131: 559
Best fit for generation 132: 559
Best fit for generation 133: 559
Best fit for generation 134: 559
Best fit for generation 135: 559
Best fit for generation 136: 559
Best fit for generation 137: 559
Best fit for generation 138: 559
Best fit for generation 139: 559
Best fit for generation 140: 559
Best fit for generation 141: 559
Best fit for generation 142: 559
Best fit for generation 143: 559
Best fit for generation 144: 559
Best fit for generation 145: 559
Best fit for generation 146: 559
Best fit for generation 147: 559
Best fit for generation 148: 559
Best fit for generation 149: 559
Best fit for generation 150: 559
Best fit for generation 151: 559
Best fit for generation 152: 559
Best fit for generation 153: 559
Best fit for generation 154: 559
Best fit for generation 155: 559
Best fit for generation 156: 559
Best fit for generation 157: 559
Best fit for generation 158: 559
Best fit for generation 159: 559
Best fit for generation 160: 559
Best fit for generation 161: 559
Best fit for generation 162: 559
Best fit for generation 163: 559
Best fit for generation 164: 559
Best fit for generation 165: 559
Best fit for generation 166: 559
Best fit for generation 167: 559
Best fit for generation 168: 559
Best fit for generation 169: 559
Best fit for generation 170: 559
Best fit for generation 171: 559
Best fit for generation 172: 559
Best fit for generation 173: 559
Best fit for generation 174: 559
Best fit for generation 175: 559
Best fit for generation 176: 559
Best fit for generation 177: 559
Best fit for generation 178: 559
Best fit for generation 179: 559
Best fit for generation 180: 559
Best fit for generation 181: 559
Best fit for generation 182: 559
Best fit for generation 183: 559
Best fit for generation 184: 559
Best fit for generation 185: 559
Best fit for generation 186: 559
Best fit for generation 187: 608
Best fit for generation 188: 608
Best fit for generation 189: 608
Best fit for generation 190: 608
Best fit for generation 191: 608
Best fit for generation 192: 608
Best fit for generation 193: 608
Best fit for generation 194: 608
Best fit for generation 195: 608
Best fit for generation 196: 608
Best fit for generation 197: 608
Best fit for generation 198: 608
Best fit for generation 199: 608
Best fit for generation 200: 608
Best fit for generation 201: 608
Best fit for generation 202: 608
Best fit for generation 203: 608
Best fit for generation 204: 608
Best fit for generation 205: 608
Best fit for generation 206: 608
Best fit for generation 207: 608
Best fit for generation 208: 608
Best fit for generation 209: 608
Best fit for generation 210: 608
Best fit for generation 211: 608
Best fit for generation 212: 608
Best fit for generation 213: 608
Best fit for generation 214: 608
Best fit for generation 215: 608
Best fit for generation 216: 608
Best fit for generation 217: 608
Best fit for generation 218: 608
Best fit for generation 219: 608
Best fit for generation 220: 608
Best fit for generation 221: 608
Best fit for generation 222: 608
Best fit for generation 223: 608
Best fit for generation 224: 608
Best fit for generation 225: 608
Best fit for generation 226: 608
Best fit for generation 227: 608
Best fit for generation 228: 608
Best fit for generation 229: 608
Best fit for generation 230: 608
Best fit for generation 231: 608
Best fit for generation 232: 608
Best fit for generation 233: 608
Best fit for generation 234: 608
Best fit for generation 235: 608
Best fit for generation 236: 608
Best fit for generation 237: 608
Best fit for generation 238: 608
Best fit for generation 239: 608
Best fit for generation 240: 608
Best fit for generation 241: 608
Best fit for generation 242: 608
Best fit for generation 243: 608
Best fit for generation 244: 608
Best fit for generation 245: 608
Best fit for generation 246: 608
Best fit for generation 247: 608
Best fit for generation 248: 608
Best fit for generation 249: 608
Best fit for generation 250: 608
Best fit for generation 251: 608
Best fit for generation 252: 608
Best fit for generation 253: 608
Best fit for generation 254: 608
Best fit for generation 255: 608
Best fit for generation 256: 608
Best fit for generation 257: 608
Best fit for generation 258: 608
Best fit for generation 259: 608
Best fit for generation 260: 608
Best fit for generation 261: 608
Best fit for generation 262: 608
Best fit for generation 263: 608
Best fit for generation 264: 608
Best fit for generation 265: 608
Best fit for generation 266: 608
Best fit for generation 267: 608
Best fit for generation 268: 608
Best fit for generation 269: 608
Best fit for generation 270: 608
Best fit for generation 271: 608
Best fit for generation 272: 608
Best fit for generation 273: 608
Best fit for generation 274: 608
Best fit for generation 275: 608
Best fit for generation 276: 608
Best fit for generation 277: 608
