Maximum fit for each generation: 
Best fit for generation 0: 502
Best fit for generation 1: 502
Best fit for generation 2: 502
Best fit for generation 3: 502
Best fit for generation 4: 502
Best fit for generation 5: 502
Best fit for generation 6: 502
Best fit for generation 7: 502
Best fit for generation 8: 502
Best fit for generation 9: 502
Best fit for generation 10: 502
Best fit for generation 11: 502
Best fit for generation 12: 502
Best fit for generation 13: 502
Best fit for generation 14: 502
Best fit for generation 15: 502
Best fit for generation 16: 502
Best fit for generation 17: 502
Best fit for generation 18: 502
Best fit for generation 19: 502
Best fit for generation 20: 502
Best fit for generation 21: 502
Best fit for generation 22: 502
Best fit for generation 23: 502
Best fit for generation 24: 502
Best fit for generation 25: 502
Best fit for generation 26: 502
Best fit for generation 27: 502
Best fit for generation 28: 502
Best fit for generation 29: 502
Best fit for generation 30: 502
Best fit for generation 31: 502
Best fit for generation 32: 502
Best fit for generation 33: 502
Best fit for generation 34: 502
Best fit for generation 35: 502
Best fit for generation 36: 502
Best fit for generation 37: 502
Best fit for generation 38: 502
Best fit for generation 39: 502
Best fit for generation 40: 502
Best fit for generation 41: 502
Best fit for generation 42: 502
Best fit for generation 43: 502
Best fit for generation 44: 502
Best fit for generation 45: 502
Best fit for generation 46: 502
Best fit for generation 47: 502
Best fit for generation 48: 502
Best fit for generation 49: 502
Best fit for generation 50: 502
Best fit for generation 51: 502
Best fit for generation 52: 502
Best fit for generation 53: 502
Best fit for generation 54: 502
Best fit for generation 55: 502
Best fit for generation 56: 502
Best fit for generation 57: 502
Best fit for generation 58: 502
Best fit for generation 59: 502
Best fit for generation 60: 502
Best fit for generation 61: 502
Best fit for generation 62: 502
Best fit for generation 63: 502
Best fit for generation 64: 502
Best fit for generation 65: 502
Best fit for generation 66: 502
Best fit for generation 67: 502
Best fit for generation 68: 502
Best fit for generation 69: 502
Best fit for generation 70: 502
Best fit for generation 71: 502
Best fit for generation 72: 502
Best fit for generation 73: 502
Best fit for generation 74: 502
Best fit for generation 75: 502
Best fit for generation 76: 502
Best fit for generation 77: 502
Best fit for generation 78: 502
Best fit for generation 79: 502
Best fit for generation 80: 502
Best fit for generation 81: 502
Best fit for generation 82: 502
Best fit for generation 83: 502
Best fit for generation 84: 502
Best fit for generation 85: 502
Best fit for generation 86: 502
Best fit for generation 87: 502
Best fit for generation 88: 502
Best fit for generation 89: 502
Best fit for generation 90: 502
Best fit for generation 91: 502
Best fit for generation 92: 502
Best fit for generation 93: 502
Best fit for generation 94: 502
Best fit for generation 95: 502
Best fit for generation 96: 502
Best fit for generation 97: 502
Best fit for generation 98: 502
Best fit for generation 99: 502
Best fit for generation 100: 502
Best fit for generation 101: 502
Best fit for generation 102: 502
